Course,Theory Equivalent,Lab Equivalent, Theory Initial,Theory Day,"""Theory Time (1hr 20min)""", Theory Room, Lab Initial,Lab Day,Lab Time (3hr), Lab Room
CSE250-02,,,PDS,SUN+TUE,9:30 AM,07H-27C,"SZZ,MOM",MON,11:00 AM,FT10-02L
CSE250-03,,,SEF,SUN+TUE,12:30 PM,07H-27C,"KRP,ZAZ",WED,8:00 AM,12B-20L
CSE250-04,,,PDS,SUN+TUE,2:00 PM,07H-27C,"EHQ,THL",THU,11:00 AM,12B-20L
CSE250-05,,,AKJ,SUN+TUE,3:30 PM,07H-27C,"MHY,SEF",THU,2:00 PM,12B-20L
CSE250-06,,,EHQ,SUN+TUE,8:00 AM,09A-01C,"ZBH,NUR",MON,11:00 AM,FT10-01L
CSE250-07,,,ZBH,SAT+THU,3:30 PM,09A-03C,"PDS,SDL",MON,2:00 PM,12B-20L
CSE250-08,,,SKE,SUN+TUE,11:00 AM,09A-02C,"PDS,SMY",WED,8:00 AM,12B-20L
CSE250-09,,,SDL,SUN+TUE,12:30 PM,09A-01C,"TAV,SDQ",THU,11:00 AM,12B-20L
CSE250-10,,,KRP,SUN+TUE,2:00 PM,09A-01C,"THL,PMD",THU,2:00 PM,12B-20L
CSE250-11,,,AQT,SAT+THU,9:30 AM,07H-26C,"EHQ,SZZ",SUN,11:00 AM,12B-20L
CSE250-12,,,TAV,SUN+TUE,8:00 AM,09H-35C,"KFP,MBM",MON,2:00 PM,12B-20L
CSE250-14,,,RMT,MON+WED,8:00 AM,09A-02C,"TSE,FFR",SUN,8:00 AM,12B-20L
CSE250-15,,,SDS,MON+WED,9:30 AM,09A-02C,"MHY,FFR",SAT,2:00 PM,12B-20L
CSE250-16,,,MBM,MON+WED,11:00 AM,09A-02C,"MHY,HMH",SAT,8:00 AM,FT10-01L
CSE250-17,,,SDS,MON+WED,12:30 PM,09A-02C,"FFR,SDL",TUE,8:00 AM,12B-20L
CSE250-18,,,SDQ,MON+WED,2:00 PM,09A-02C,"SMY,RFQ",SAT,11:00 AM,12B-20L
CSE250-19,,,SDQ,MON+WED,3:30 PM,09A-02C,"FFR,QSH",TUE,2:00 PM,12B-20L
CSE250-20,,,MBM,MON+WED,8:00 AM,09D-17C,"MHY,MBM",SUN,8:00 AM,12B-20L
CSE250-21,,,SDL,SUN+TUE,3:30 PM,09A-01C,"SMY,MWR",SAT,2:00 PM,12B-20L
CSE250-22,,,ZAZ,MON+WED,12:30 PM,07H-27C,"RFQ,YAP",SAT,8:00 AM,FT10-02L
CSE250-23,,,UTS,MON+WED,2:00 PM,07H-27C,"UPM,AKJ",TUE,8:00 AM,12B-20L
CSE250-24,,,UTS,MON+WED,8:00 AM,09A-01C,"RAS,MWR",SAT,11:00 AM,12B-20L
CSE250-25,,,FFR,SAT+THU,8:00 AM,07H-26C,"KRP,NUR",TUE,11:00 AM,FT10-01L
CSE250-26,,,AQT,SAT+THU,8:00 AM,07F-22C,"SMY,SEF",WED,2:00 PM,FT10-02L
CSE250-27,,,PMD,SAT+THU,9:30 AM,07F-22C,"MBM,MHY",SUN,11:00 AM,12B-20L
CSE250-28,,,FFR,SAT+THU,11:00 AM,07F-22C,"EHQ,SMY",SUN,2:00 PM,FT10-01L
CSE250-29,,,KFP,SAT+THU,12:30 PM,07F-22C,"PMD,KFP",SUN,2:00 PM,FT10-02L
CSE250-30,,,ZAZ,SAT+THU,2:00 PM,07F-22C,"KRP,RMT",THU,11:00 AM,FT10-03L
CSE250-31,,,RFQ,SAT+THU,3:30 PM,07F-22C,"HMH,SDQ",TUE,2:00 PM,12B-20L
CSE250-32,,,MHY,SAT+THU,11:00 AM,07H-26C,"RAO,KFP",THU,2:00 PM,FT10-01L
CSE250-33,,,ZBH,SAT+THU,12:30 PM,07H-26C,"PDS,UTS",WED,11:00 AM,12B-20L
CSE250-34,,,SKE,SAT+THU,2:00 PM,07H-26C,"AKJ,SKE",WED,11:00 AM,12B-20L
CSE250-35,,,TAV,SUN+TUE,11:00 AM,07D-20C ,"PMD,AQT",SAT,2:00 PM,FT10-01L
CSE251-01,,,YAP,SUN+TUE,8:00 AM,09A-03C,"EHQ,TAV",THU,8:00 AM,12B-20L
CSE251-02,,,TMY,SUN+TUE,9:30 AM,09A-03C,"RAS,TAV",WED,11:00 AM,FT08-04L
CSE251-03,,,PDS,SUN+TUE,11:00 AM,09A-03C,"RAS,PMD",MON,8:00 AM,FT10-01L
CSE251-04,,,UTS,SUN+TUE,12:30 PM,09A-03C,"HAD,PDS",MON,8:00 AM,FT10-02L
CSE251-05,,,AGS,SUN+TUE,2:00 PM,09A-03C,"HMH,AGS",SAT,11:00 AM,FT10-01L
CSE251-06,,,UPM,SUN+TUE,3:30 PM,09A-03C,"MOM,SDL",SAT,2:00 PM,FT10-02L
CSE251-07,,,AKJ,MON+WED,8:00 AM,09A-03C,"AQT,MOM",SUN,8:00 AM,FT10-01L
CSE251-08,,,RAS,MON+WED,3:30 PM,10A-04C,"PMD,SMY",SUN,8:00 AM,FT10-03L
CSE251-09,,,RMT,MON+WED,9:30 AM,09A-03C,"SDL,TMY",SAT,11:00 AM,FT10-03L
CSE251-10,,,RAO,MON+WED,12:30 PM,09A-03C,"ZBH,RAS",TUE,8:00 AM,FT10-03L
CSE251-11,,,THL,MON+WED,2:00 PM,09A-03C,"AQT,MBM",TUE,2:00 PM,FT10-03L
CSE251-12,,,MFSQ,MON+WED,3:30 PM,09A-03C,"HMH,RAO",THU,8:00 AM,12B-20L
CSE251-13,,,MWR,SAT+THU,8:00 AM,09A-02C,"SZZ,SEF",WED,8:00 AM,FT10-01L
CSE251-14,,,MOM,SAT+THU,9:30 AM,09A-02C,"SDAS,THL",WED,8:00 AM,FT10-02L
CSE251-15,,,RAO,SAT+THU,11:00 AM,09A-02C,"NUR,FFR",WED,11:00 AM,FT10-03L
CSE251-16,,,MOM,SAT+THU,12:30 PM,09A-02C,"FFR,AQT",SUN,11:00 AM,FT10-03L
CSE251-17,,,EHQ,SAT+THU,2:00 PM,09A-02C,"MFSQ,NUR",SUN,11:00 AM,FT10-02L
CSE251-18,,,TSE,SAT+THU,3:30 PM,09A-02C,"MFSQ,SZZ",MON,8:00 AM,FT08-04L
CSE251-19,,,MWR,SUN+TUE,8:00 AM,10A-07C,"UPM,SEF",THU,11:00 AM,FT10-02L
CSE251-20,,,THL,SUN+TUE,12:30 PM,10A-07C,"SDU,MFSQ",SUN,2:00 PM,FT08-04L
CSE251-21,,,TMY,SUN+TUE,8:00 AM,09B-12C,"RMT,SMY",THU,8:00 AM,FT10-03L
CSE251-22,,,HMH,SUN+TUE,12:30 PM,09B-12C,"KFP,UTS",MON,11:00 AM,FT10-03L
CSE251-24,,,RAS,MON+WED,2:00 PM,10A-04C,"AGS,SEF",TUE,8:00 AM,FT10-02L
CSE251-25,,,MFSQ,MON+WED,2:00 PM,09A-07C,"HAD,ZBH",TUE,2:00 PM,FT10-01L
CSE251-26,,,TSE,SAT+THU,12:30 PM,09A-03C,"MWR,HAD",TUE,11:00 AM,FT10-02L
CSE251-27,,,HMH,SAT+THU,2:00 PM,09A-03C,"ZAZ,TSE",SAT,8:00 AM,FT08-04L
CSE251-28,,,AKJ,SUN+TUE,12:30 PM,07D-20C ,"TMY,FFR",WED,8:00 AM,FT10-03L
CSE260-01,,,FIC,SUN+TUE,8:00 AM,09H-33C,"RDS,PRC",MON,2:00 PM,FT10-04L
CSE260-02,,,MDF,SUN+TUE,2:00 PM,09A-04C,"FIC,LMI",WED,11:00 AM,FT10-04L
