Course,Theory Equivalent,Lab Equivalent, Theory Initial,Theory Day,"""Theory Time (1hr 20min)""", Theory Room, Lab Initial,Lab Day,Lab Time (3hr), Lab Room
CSE260-03,,,MDF,MON+WED,3:30 PM,09A-04C,"LMI,ABDK",SAT,11:00 AM,FT10-04L
CSE260-04,,,APM,SUN+TUE,11:00 AM,09A-05C,"PLN,MDF",MON,8:00 AM,FT10-04L
CSE260-05,,,FIC,MON+WED,2:00 PM,09H-36C,"PBK,TJW",SAT,2:00 PM,FT10-04L
CSE260-06,,,HAS,MON+WED,3:30 PM,09H-36C,"RFF,TJW",SAT,8:00 AM,FT10-04L
CSE260-07,,,NMP,MON+WED,11:00 AM,09H-32C,"MCW,ABU",THU,8:00 AM,FT10-02L
CSE260-08,,,PBK,SAT+THU,9:30 AM,10A-05C,"AFQ,TJW",WED,2:00 PM,FT10-04L
CSE260-09,,,PBK,SAT+THU,11:00 AM,10A-05C,"DZK,SUE",THU,8:00 AM,FT10-04L
CSE260-10,,,DZK,SUN+TUE,11:00 AM,09A-04C,"PBK,DZK",THU,2:00 PM,FT10-04L
CSE260-11,,,DZK,SUN+TUE,12:30 PM,09A-04C,"DZK,LMI",THU,11:00 AM,FT10-04L
CSE260-12,,,DZK,MON+WED,11:00 AM,09A-04C,"MDW,TWK",SUN,11:00 AM,FT10-04L
CSE260-13,,,DZK,MON+WED,12:30 PM,09A-04C,"MTJ,HAS",TUE,11:00 AM,FT10-04L
CSE260-14,,,LMI,SAT+THU,8:00 AM,09C-13C,"MDF,MCW",SUN,8:00 AM,FT10-04L
CSE260-15,,,LMI,SAT+THU,9:30 AM,09C-13C,"RDS,AAF",SUN,2:00 PM,FT10-04L
CSE260-16,,,NMP,SAT+THU,11:00 AM,09C-13C,"MCW,FIC",MON,11:00 AM,FT10-04L
CSE260-17,,,TJW,SAT+THU,12:30 PM,09C-13C,"NFF,NMP",WED,8:00 AM,FT10-04L
CSE260-18,,,NLH,SAT+THU,2:00 PM,09D-17C,"AFQ,AAF",TUE,8:00 AM,FT10-04L
CSE260-19,,,AFQ,SAT+THU,3:30 PM,09D-17C,"ABU,WBH",TUE,2:00 PM,FT10-04L
CSE260-20,,,NLH,SUN+TUE,2:00 PM,07D-20C ,"ABU,MCW",THU,2:00 PM,FT08-04L
CSE260-21,,,AKDR,MON+WED,3:30 PM,09C-13C,"TJH,PRC",SUN,8:00 AM,FT08-04L
CSE260-22,,,TWK,SUN+TUE,9:30 AM,09H-34C,"NFF,MTJ",MON,2:00 PM,FT10-01L
CSE260-23,,,MCW,MON+WED,3:30 PM,10A-07C,"PLN,WBH",TUE,8:00 AM,FT10-01L
CSE320-01,EEE361,EEE362,MSMA,MON+WED,8:00 AM,09A-05C,,,,
CSE320-02,EEE361,EEE362,MSMA,MON+WED,9:30 AM,09A-05C,,,,
CSE320-03,EEE361,EEE362,TAP,SUN+TUE,2:00 PM,09H-33C,,,,
CSE320-04,EEE361,EEE362,TAP,SUN+TUE,3:30 PM,09H-33C,,,,
CSE320-05,EEE361,EEE362,FGZ,MON+WED,8:00 AM,10A-05C,,,,
CSE320-06,EEE361,EEE362,FGZ,MON+WED,9:30 AM,10A-05C,,,,
CSE320-07,EEE361,EEE362,SRJ,SAT+THU,2:00 PM,07H-27C,,,,
CSE320-08,EEE361,EEE362,SRJ,SAT+THU,3:30 PM,07H-27C,,,,
CSE320-09,EEE361,EEE362,STV,SUN+TUE,9:30 AM,09H-35C,,,,
CSE320-10,EEE361,EEE362,KSJ,SUN+TUE,11:00 AM,09H-35C,,,,
CSE320-11,EEE361,EEE362,AAF,SUN+TUE,11:00 AM,10A-10C,,,,
CSE320-12,EEE361,EEE362,AHU,SUN+TUE,2:00 PM,10A-10C,,,,
CSE320-13,EEE361,EEE362,AHU,SUN+TUE,3:30 PM,09H-34C,,,,
CSE320-14,EEE361,EEE362,RFJ,SAT+THU,9:30 AM,09A-06C,,,,
CSE320-15,EEE361,EEE362,MAF,SAT+THU,12:30 PM,09A-01C,,,,
CSE320-16,EEE361,EEE362,NTR,SUN+TUE,12:30 PM,09H-34C,,,,
CSE320-17,EEE361,EEE362,NTR,SUN+TUE,3:30 PM,10A-10C,,,,
CSE320-18,EEE361,EEE362,NTR,MON+WED,12:30 PM,09A-07C,,,,
CSE320-19,EEE361,EEE362,RFJ,SAT+THU,8:00 AM,10A-05C,,,,
CSE320-20,EEE361,EEE362,YND,SAT+THU,8:00 AM,10A-06C,,,,
CSE320-21,EEE361,EEE362,MOZR,SAT+THU,9:30 AM,10A-06C,,,,
CSE320-22,EEE361,EEE362,SHAH,SAT+THU,11:00 AM,10A-04C,,,,
CSE320-23,EEE361,EEE362,LHK,SAT+THU,12:30 PM,10A-08C,,,,
CSE320-24,EEE361,EEE362,MOZR,SAT+THU,2:00 PM,10A-04C,,,,
CSE320-25,EEE361,EEE362,MOZR,SAT+THU,3:30 PM,10A-04C,,,,
CSE320-26,EEE361,EEE362,SHAH,SAT+THU,2:00 PM,10A-05C,,,,
CSE320-27,EEE361,EEE362,SHAH,SAT+THU,3:30 PM,10A-05C,,,,
CSE320-28,EEE361,EEE362,LHK,MON+WED,8:00 AM,09A-07C,,,,
CSE320-29,EEE361,EEE362,SHRR,MON+WED,3:30 PM,07H-26C,,,,
CSE320-30,EEE361,EEE362,SHRR,MON+WED,2:00 PM,07H-26C,,,,
CSE320-31,EEE361,EEE362,THR,MON+WED,8:00 AM,09H-37C,,,,
CSE320-32,EEE361,EEE362,KSJ,SUN+TUE,8:00 AM,07D-20C ,,,,
CSE320-33,EEE361,EEE362,THR,MON+WED,2:00 PM,07D-20C ,,,,
CSE320-34,EEE361,EEE362,MAF,SUN+TUE,3:30 PM,10A-04C,,,,
CSE321-01,,,ACH,SUN+TUE,11:00 AM,09H-34C,"NFF,MTU",WED,2:00 PM,09F-25L
CSE321-02,,,ACH,SUN+TUE,2:00 PM,09H-34C,"SULT,SWV",MON,2:00 PM,12D-27L
CSE321-03,,,BDH,SUN+TUE,11:00 AM,07H-26C,"BDH,ATY",MON,11:00 AM,10G-32L
CSE321-04,,,BDH,SUN+TUE,12:30 PM,07H-26C,"BDH,ATY",WED,11:00 AM,12D-27L
CSE321-05,,,BDH,SUN+TUE,3:30 PM,07H-26C,"TSD,SMKD",THU,2:00 PM,12D-26L
CSE321-06,,,ATY,MON+WED,8:00 AM,07H-26C,"SHMK,SMKD",SUN,11:00 AM,FT11-04L
CSE321-07,,,ATY,MON+WED,9:30 AM,07H-26C,"MAO,SMKD",SUN,2:00 PM,FT11-04L
CSE321-08,,,NAN,SAT+THU,8:00 AM,10A-04C,"SMKD,ASMN",SAT,2:00 PM,12D-26L
CSE321-09,,,TSD,SAT+THU,9:30 AM,10A-04C,"ASMN,SZD",THU,2:00 PM,12D-27L
CSE321-10,,,ATY,SUN+TUE,11:00 AM,09A-01C,"KSJ,ASMN",WED,2:00 PM,12D-26L
CSE321-11,,,NTR,MON+WED,3:30 PM,09A-07C,"SWV,MAO",SAT,11:00 AM,12D-26L
CSE321-12,,,SULT,SAT+THU,11:00 AM,08H-22C,"MAO,SMKD",TUE,8:00 AM,12D-27L
CSE321-13,,,SWV,SAT+THU,8:00 AM,09H-32C,"SULT,MAO",TUE,2:00 PM,09F-25L
CSE321-14,,,SWV,SAT+THU,9:30 AM,09H-32C,"SMUR,NTN",MON,11:00 AM,12D-27L
CSE321-15,,,KBS,MON+WED,3:30 PM,09H-34C,"SMKD,MTU",TUE,11:00 AM,12D-27L
CSE321-16,,,KBS,SAT+THU,8:00 AM,07D-19C,"KBS,SMUR",SAT,2:00 PM,12D-27L
CSE330-01,,,APM,SAT+THU,8:00 AM,07D-20C,"KHC,RDS",SUN,8:00 AM,09F-26L
CSE330-02,,,NTN,SUN+TUE,9:30 AM,09A-06C,"WBH,TWK",WED,8:00 AM,12D-27L
CSE330-03,,,RZR,SUN+TUE,11:00 AM,09A-06C,"SKW,RDS",MON,8:00 AM,09F-26L
CSE330-04,,,AMK,MON+WED,2:00 PM,09D-17C,"MSDH,TWK",SUN,2:00 PM,09F-26L
CSE330-05,,,AQU,SUN+TUE,2:00 PM,10A-06C,"ALB,NLH",THU,11:00 AM,09F-26L
CSE330-06,,,AQU,SUN+TUE,3:30 PM,10A-06C,"TWK,SKW",SAT,2:00 PM,09F-24L
CSE330-07,,,APM,SAT+THU,2:00 PM,09H-37C,"MSDH,ARD",TUE,11:00 AM,09B-11L
CSE330-08,,,APM,SAT+THU,3:30 PM,09H-37C,"RDS,WBH",WED,2:00 PM,10G-32L
CSE330-09,,,RZR,SUN+TUE,12:30 PM,09A-05C,"MKSK,NTN",THU,8:00 AM,09F-26L
CSE330-10,,,SADF,MON+WED,11:00 AM,09H-36C,"SKW,NTN",TUE,2:00 PM,09B-10L
CSE330-11,,,SADF,MON+WED,12:30 PM,09H-36C,"MKSK,NTN",THU,2:00 PM,09F-26L
CSE330-12,,,MNW,SAT+THU,9:30 AM,09H-33C,"RRH,MNP",MON,11:00 AM,09F-26L
CSE330-13,,,MNW,SAT+THU,8:00 AM,09H-33C,"NLH,ALB",SUN,8:00 AM,09E-21L
CSE330-14,,,ALB,SAT+THU,2:00 PM,09H-33C,"APM,MNP",TUE,8:00 AM,09B-10L
CSE330-15,,,ALB,SAT+THU,3:30 PM,09H-33C,"AQU,MSDH",WED,11:00 AM,09F-25L
CSE330-16,,,MNP,SAT+THU,2:00 PM,10A-06C,"NLH,MKSK",SAT,8:00 AM,09F-24L
CSE330-17,,,NTN,MON+WED,8:00 AM,07F-22C,"AAF,TWK",SAT,11:00 AM,09F-24L
CSE330-18,,,MNP,SAT+THU,12:30 PM,09H-35C,"MNP,UMS",MON,2:00 PM,09F-26L
CSE330-19,,,MNW,MON+WED,8:00 AM,10A-09C,"KHC,UMS",THU,2:00 PM,12F-31L
CSE330-20,,,SKW,SUN+TUE,8:00 AM,09H-34C,"SKW,KHC",SAT,8:00 AM,09E-22L
CSE330-21,,,MKSK,SAT+THU,12:30 PM,07D-19C,"UMS,WBH",SAT,8:00 AM,09B-11L
CSE330-22,,,SKW,SUN+TUE,12:30 PM,08H-22C,"HJB,ALB",MON,2:00 PM,12F-32L
CSE331-01,,,RSS,SAT+THU,2:00 PM,09D-18C,,,,
CSE331-02,,,RSS,SAT+THU,3:30 PM,09D-18C,,,,
CSE331-03,,,FHZ,MON+WED,9:30 AM,09A-07C,,,,
CSE331-04,,,FHZ,MON+WED,11:00 AM,09A-07C,,,,
CSE331-05,,,KKP,SUN+TUE,2:00 PM,09H-35C,,,,
CSE331-06,,,KKP,SUN+TUE,3:30 PM,09H-35C,,,,
CSE331-07,,,KKP,MON+WED,9:30 AM,09H-35C,,,,
CSE331-08,,,KKP,MON+WED,11:00 AM,09H-35C,,,,
CSE331-09,,,MSDH,MON+WED,2:00 PM,09H-35C,,,,
CSE331-10,,,ZYH,MON+WED,3:30 PM,09H-35C,,,,
CSE331-11,,,NFP,SUN+TUE,9:30 AM,10A-08C,,,,
CSE331-12,,,NFP,SUN+TUE,11:00 AM,10A-08C,,,,
CSE331-13,,,NFP,MON+WED,9:30 AM,10A-07C,,,,
CSE331-14,,,NFP,MON+WED,11:00 AM,10A-07C,,,,
CSE331-15,,,DFD,MON+WED,9:30 AM,10A-10C,,,,
CSE331-16,,,NWN,MON+WED,8:00 AM,10A-08C,,,,
CSE331-17,,,AFA,SAT+THU,12:30 PM,09A-06C,,,,
CSE331-18,,,AFA,SAT+THU,2:00 PM,09A-06C,,,,
CSE331-19,,,MLH,SUN+TUE,8:00 AM,10A-09C,,,,
CSE331-20,,,MLH,SUN+TUE,9:30 AM,10A-09C,,,,
CSE331-21,,,NWN,SUN+TUE,9:30 AM,09A-01C,,,,
CSE331-22,,,FDM,SAT+THU,11:00 AM,07D-19C,,,,
CSE340-01,EEE410,,ACH,MON+WED,11:00 AM,09H-34C,,,,
CSE340-02,EEE410,,ACH,MON+WED,2:00 PM,09H-34C,,,,
CSE340-03,EEE410,,RDW,SAT+THU,11:00 AM,10A-09C,,,,
CSE340-04,EEE410,,RDW,SAT+THU,12:30 PM,10A-09C,,,,
CSE340-05,EEE410,,RDW,SUN+TUE,8:00 AM,10A-10C,,,,
CSE340-06,EEE410,,PBK,SUN+TUE,12:30 PM,09A-06C,,,,
CSE340-07,EEE410,,PBK,SUN+TUE,2:00 PM,09A-06C,,,,
CSE340-08,EEE410,,FFU,SAT+THU,8:00 AM,08H-22C,,,,
CSE340-09,EEE410,,NAN,SUN+TUE,12:30 PM,09H-35C,,,,
CSE340-10,EEE410,,SWV,MON+WED,12:30 PM,09A-05C,,,,
CSE340-11,EEE410,,NAN,SAT+THU,9:30 AM,08H-22C,,,,
CSE340-12,EEE410,,HBN,SAT+THU,3:30 PM,09A-05C,,,,
CSE340-13,EEE410,,NTB,SAT+THU,9:30 AM,09H-36C,,,,
CSE340-14,EEE410,,NTB,SAT+THU,2:00 PM,09B-12C,,,,
CSE340-15,EEE410,,HBN,MON+WED,2:00 PM,08H-22C,,,,
CSE341-01,,,ZHS,MON+WED,9:30 AM,10A-04C,"YND,TNZ",TUE,2:00 PM,09E-21L
CSE341-02,,,RRH,SAT+THU,9:30 AM,09A-03C,"MTU,TNZ",SUN,8:00 AM,09F-27L
CSE341-03,,,RRH,MON+WED,9:30 AM,10A-06C,"HBN,SDW",SUN,11:00 AM,09F-27L
CSE341-04,,,UJT,MON+WED,11:00 AM,10A-06C,"MTU,SHMK",THU,11:00 AM,10G-34L
CSE341-05,,,UJT,MON+WED,12:30 PM,10A-06C,"MTU,SHMK",THU,2:00 PM,10G-34L
CSE341-06,,,RKN,SUN+TUE,8:00 AM,10A-06C,"YND,RTF",WED,2:00 PM,12F-30L
CSE341-07,,,RKN,SUN+TUE,9:30 AM,10A-06C,"WLV,LHK",MON,11:00 AM,10G-33L
CSE341-08,,,MAO,SAT+THU,8:00 AM,09B-12C,"SHMK,RTF",MON,2:00 PM,10G-32L
CSE341-09,,,FFU,SAT+THU,2:00 PM,09A-01C,"MAO,RKN",TUE,11:00 AM,09E-21L
CSE341-10,,,SUI,SAT+THU,3:30 PM,09A-01C,"HBN,YND",WED,11:00 AM,12F-30L
CSE341-11,,,SDW,SUN+TUE,3:30 PM,09A-05C,"TNZ,UMS",SAT,2:00 PM,10G-34L
CSE350-01,,,TNMF,SAT+THU,8:00 AM,09A-04C,"SDU,RAO",MON,2:00 PM,FT10-03L
CSE350-02,,,TNMF,SAT+THU,9:30 AM,09A-04C,"ZBH,RFQ",MON,2:00 PM,FT08-04L
CSE350-03,,,TNMF,SAT+THU,11:00 AM,09A-04C,"JMD,SZZ",TUE,8:00 AM,FT08-04L
CSE350-04,,,QSH,SAT+THU,12:30 PM,09A-04C,"SZZ,SDQ",TUE,11:00 AM,FT08-04L
CSE350-05,,,QSH,SAT+THU,2:00 PM,09A-04C,"QSH,HAD",WED,2:00 PM,FT08-04L
CSE350-06,,,ZAZ,SAT+THU,3:30 PM,09A-04C,"SDU,TAV",WED,2:00 PM,FT10-03L
CSE350-07,,,NUR,SUN+TUE,8:00 AM,10A-08C,"QSH,SDQ",WED,11:00 AM,FT10-01L
CSE350-08,,,SDU,SUN+TUE,12:30 PM,09A-07C,"JMD,SDU",THU,11:00 AM,FT08-04L
CSE350-09,,,SZZ,SUN+TUE,3:30 PM,09A-06C,"SKE,SDQ",SAT,11:00 AM,FT08-04L
CSE350-10,,,JMD,MON+WED,8:00 AM,10A-10C,"QSH,TSE",THU,8:00 AM,FT08-04L
CSE350-11,,,JMD,MON+WED,2:00 PM,09A-01C,"KRP,TSE",SUN,11:00 AM,FT08-04L
CSE350-12,,,NUR,MON+WED,3:30 PM,09A-01C,"RAS,TMY",SAT,2:00 PM,FT08-04L
CSE350-13,,,SDU,SUN+TUE,8:00 AM,09A-06C,"RAO,SKE",WED,2:00 PM,FT10-01L
CSE350-14,,,SKE,SAT+THU,3:30 PM,09A-07C,"SKE,SEF",SUN,8:00 AM,FT10-02L
CSE350-15,,,SZZ,MON+WED,3:30 PM,09G-29C,"SKE,TMY",TUE,2:00 PM,FT08-04L
CSE360-01,,,UJT,SUN+TUE,11:00 AM,10A-05C,"SUI,UJT",MON,2:00 PM,10G-33L
CSE360-02,,,UJT,SUN+TUE,12:30 PM,10A-05C,"SUI,UJT",MON,2:00 PM,10G-33L
CSE360-03,,,SRU,MON+WED,12:30 PM,10A-07C,"PRC,IRZ",SAT,8:00 AM,10G-33L
CSE360-04,,,KHR,MON+WED,2:00 PM,10A-07C,"PRC,IRZ",SAT,8:00 AM,10G-33L
CSE360-06,,,ASA,SAT+THU,11:00 AM,09B-12C,"SUI,PRC",TUE,11:00 AM,10G-33L
CSE360-07,,,ASA,SAT+THU,12:30 PM,09B-12C,"RDW,UJT",SUN,2:00 PM,10G-33L
CSE370-01,,,RBR,SUN+TUE,2:00 PM,10A-09C,"THR,SMKD",SAT,8:00 AM,10E-27L
CSE370-02,,,RBR,SUN+TUE,3:30 PM,10A-09C,"RZR,FUL",MON,2:00 PM,09F-27L
CSE370-03,,,DPU,SUN+TUE,8:00 AM,10A-04C,"ANV,MZW",SAT,2:00 PM,10E-27L
CSE370-04,,,DPU,SUN+TUE,9:30 AM,10A-04C,"THR,MZW",SAT,11:00 AM,10E-27L
CSE370-05,,,FEK,SUN+TUE,3:30 PM,09B-12C,"SHRR,FUL",MON,11:00 AM,09F-27L
CSE370-06,,,NNC,MON+WED,8:00 AM,09A-04C,"IRZ,SJM",THU,2:00 PM,10E-27L
CSE370-07,,,NNC,MON+WED,9:30 AM,09A-04C,"FEK,SHRR",SUN,11:00 AM,10E-27L
CSE370-08,,,NNC,SUN+TUE,8:00 AM,09A-04C,"DPU,MZW",MON,8:00 AM,10E-27L
CSE370-09,,,NNC,SUN+TUE,9:30 AM,09A-04C,"DBY,FZN",WED,8:00 AM,10E-27L
CSE370-10,,,MTT,SAT+THU,9:30 AM,10A-10C,"RBR,FEK",TUE,11:00 AM,10E-27L
CSE370-11,,,MTT,SAT+THU,11:00 AM,10A-10C,"FZN,WLV",TUE,2:00 PM,10E-27L
CSE370-12,,,MTT,MON+WED,9:30 AM,09C-13C,"DBY,MZW",THU,8:00 AM,10E-27L
CSE370-13,,,MTT,MON+WED,11:00 AM,09C-13C,"DBY,AFQ",THU,11:00 AM,10E-27L
CSE370-14,,,NZU,SAT+THU,8:00 AM,09D-18C,"NZU,MDW",SUN,2:00 PM,10E-27L
CSE370-15,,,NZU,SAT+THU,9:30 AM,09D-18C,"IRZ,ANV",TUE,8:00 AM,10E-27L
CSE370-16,,,WLV,SAT+THU,2:00 PM,10A-08C,"TNZ,IRZ",WED,2:00 PM,10E-27L
CSE370-17,,,FZN,MON+WED,3:30 PM,10A-06C,"FEK,MDW",SUN,8:00 AM,10E-27L
CSE370-18,,,PML,SAT+THU,12:30 PM,07H-27C,"SJM,TNZ",WED,11:00 AM,10E-27L
CSE370-19,,,AFQ,SAT+THU,2:00 PM,07D-20C,"FUL,FDM",MON,8:00 AM,12F-32L
CSE370-20,,,MTU,SUN+TUE,3:30 PM,10A-07C,"NFQ,SJM",THU,11:00 AM,09F-24L
CSE391-01,,,ADR,SUN+SUN,11:00 AM+12:30 PM,12F-31L,"ADR,AQJ",TUE,2:00 PM,12F-31L
CSE419-01,,,KKP,SUN+TUE,11:00 AM,10A-04C,"ARD,MLH",MON,8:00 AM,09F-24L
CSE420-01,,,MNY,MON+WED,11:00 AM,09H-37C,"FMK,AKDR",SAT,2:00 PM,09E-22L
CSE420-02,,,SUE,SAT+THU,3:30 PM,09A-06C,"SZD,SUE",TUE,8:00 AM,09B-11L
