Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]Loading weights: 100%|##########| 103/103 [00:00<00:00, 4750.74it/s]
[vector_only] BQ036: 5.15s gen, 0.023s retrieval
[vector_only] BQ037: 5.36s gen, 0.019s retrieval
[vector_only] BQ038: 4.98s gen, 0.030s retrieval
[vector_only] BQ039: 4.15s gen, 0.018s retrieval
[vector_only] BQ040: 9.09s gen, 0.026s retrieval
[vector_only] BQ041: 9.03s gen, 0.022s retrieval
[vector_only] BQ042: 4.60s gen, 0.022s retrieval
[vector_only] BQ043: 3.87s gen, 0.019s retrieval
[vector_only] BQ044: 7.30s gen, 0.026s retrieval
[vector_only] BQ045: 4.21s gen, 0.029s retrieval
[vector_only] BQ046: 13.52s gen, 0.020s retrieval
[vector_only] BQ047: 8.53s gen, 0.018s retrieval
[vector_only] BQ048: 8.09s gen, 0.020s retrieval
[vector_only] BQ049: 6.94s gen, 0.018s retrieval
[vector_only] BQ050: 7.92s gen, 0.014s retrieval
[vector_only] BQ051: 10.27s gen, 0.019s retrieval
[vector_only] BQ052: 5.08s gen, 0.020s retrieval
[vector_only] BQ053: 8.04s gen, 0.018s retrieval
[vector_only] BQ054: 11.11s gen, 0.031s retrieval
[vector_only] BQ055: 12.09s gen, 0.023s retrieval
[vector_only] BQ056: 5.73s gen, 0.022s retrieval
[vector_only] BQ057: 6.76s gen, 0.024s retrieval
[vector_only] BQ058: 4.10s gen, 0.021s retrieval
[vector_only] BQ059: 9.63s gen, 0.026s retrieval
[vector_only] BQ060: 14.48s gen, 0.028s retrieval
[vector_only] BQ061: 5.81s gen, 0.021s retrieval
[vector_only] BQ062: 7.85s gen, 0.020s retrieval
[vector_only] BQ063: 6.16s gen, 0.015s retrieval
[vector_only] BQ064: 5.66s gen, 0.018s retrieval
[vector_only] BQ065: 9.94s gen, 0.025s retrieval
[vector_only] BQ066: 9.04s gen, 0.031s retrieval
[vector_only] BQ067: 10.38s gen, 0.017s retrieval
[vector_only] BQ068: 4.47s gen, 0.022s retrieval
[vector_only] BQ069: 8.18s gen, 0.016s retrieval
[vector_only] BQ070: 17.32s gen, 0.024s retrieval
[vector_only] BQ071: 8.96s gen, 0.025s retrieval
[vector_only] BQ072: 7.46s gen, 0.017s retrieval
[vector_only] BQ073: 10.99s gen, 0.019s retrieval
[vector_only] BQ074: 5.67s gen, 0.029s retrieval
[vector_only] BQ075: 6.52s gen, 0.020s retrieval
