.\.venv\Scripts\python.exe : Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to 
enable higher rate limits and faster downloads.
At line:3 char:1
+ .\.venv\Scripts\python.exe scripts\run_novel_pipeline.py --out result ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (Warning: You ar...ster downloads.:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 

Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 103/103 [00:00<00:00, 6578.15it/s]

Loading weights:   0%|          | 0/105 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 105/105 [00:00<00:00, 4731.03it/s]
[entity_heavy/rrf] Q126: 4.30s gen, 0.015s retrieval, 0.147s rerank
[entity_heavy/rrf] Q127: 4.96s gen, 0.019s retrieval, 0.093s rerank
[entity_heavy/rrf] Q128: 4.15s gen, 0.016s retrieval, 0.141s rerank
[entity_heavy/rrf] Q129: 4.25s gen, 0.019s retrieval, 0.114s rerank
[entity_heavy/rrf] Q130: 6.38s gen, 0.019s retrieval, 0.117s rerank
[entity_heavy/rrf] Q131: 5.77s gen, 0.017s retrieval, 0.123s rerank
[entity_heavy/rrf] Q132: 4.58s gen, 0.020s retrieval, 0.092s rerank
[entity_heavy/rrf] Q133: 4.60s gen, 0.016s retrieval, 0.100s rerank
[entity_heavy/rrf] Q134: 5.76s gen, 0.017s retrieval, 0.100s rerank
[entity_heavy/rrf] Q135: 4.14s gen, 0.018s retrieval, 0.109s rerank
[entity_heavy/rrf] Q136: 4.52s gen, 0.017s retrieval, 0.094s rerank
[entity_heavy/rrf] Q137: 4.11s gen, 0.017s retrieval, 0.111s rerank
[entity_heavy/rrf] Q138: 4.82s gen, 0.018s retrieval, 0.067s rerank
[entity_heavy/rrf] Q139: 4.06s gen, 0.016s retrieval, 0.121s rerank
[entity_heavy/rrf] Q140: 7.83s gen, 0.016s retrieval, 0.112s rerank
[entity_heavy/rrf] Q141: 4.23s gen, 0.017s retrieval, 0.117s rerank
[entity_heavy/rrf] Q142: 5.69s gen, 0.017s retrieval, 0.104s rerank
[entity_heavy/rrf] Q143: 7.66s gen, 0.017s retrieval, 0.085s rerank
[entity_heavy/rrf] Q144: 8.88s gen, 0.017s retrieval, 0.090s rerank
[entity_heavy/rrf] Q145: 8.51s gen, 0.017s retrieval, 0.101s rerank
[entity_heavy/rrf] Q146: 4.73s gen, 0.018s retrieval, 0.096s rerank
[entity_heavy/rrf] Q147: 4.88s gen, 0.017s retrieval, 0.069s rerank
[entity_heavy/rrf] Q148: 5.78s gen, 0.017s retrieval, 0.115s rerank
[entity_heavy/rrf] Q149: 5.01s gen, 0.046s retrieval, 0.082s rerank
[entity_heavy/rrf] Q150: 5.03s gen, 0.018s retrieval, 0.072s rerank
[entity_heavy/rrf] Q151: 5.77s gen, 0.022s retrieval, 0.181s rerank
[entity_heavy/rrf] Q152: 4.97s gen, 0.024s retrieval, 0.177s rerank
[entity_heavy/rrf] Q153: 5.62s gen, 0.021s retrieval, 0.124s rerank
[entity_heavy/rrf] Q154: 5.58s gen, 0.021s retrieval, 0.137s rerank
[entity_heavy/rrf] Q155: 4.83s gen, 0.022s retrieval, 0.191s rerank
[entity_heavy/rrf] Q156: 4.92s gen, 0.026s retrieval, 0.095s rerank
[entity_heavy/rrf] Q157: 5.56s gen, 0.023s retrieval, 0.153s rerank
[entity_heavy/rrf] Q158: 4.73s gen, 0.021s retrieval, 0.058s rerank
[entity_heavy/rrf] Q159: 5.72s gen, 0.024s retrieval, 0.164s rerank
[entity_heavy/rrf] Q160: 4.83s gen, 0.025s retrieval, 0.195s rerank
[entity_heavy/rrf] Q161: 4.71s gen, 0.023s retrieval, 0.054s rerank
[entity_heavy/rrf] Q162: 4.97s gen, 0.021s retrieval, 0.084s rerank
[entity_heavy/rrf] Q163: 4.75s gen, 0.021s retrieval, 0.136s rerank
[entity_heavy/rrf] Q164: 4.92s gen, 0.022s retrieval, 0.170s rerank
[entity_heavy/rrf] Q165: 5.13s gen, 0.023s retrieval, 0.201s rerank
[entity_heavy/rrf] Q166: 5.86s gen, 0.023s retrieval, 0.223s rerank
[entity_heavy/rrf] Q167: 10.43s gen, 0.020s retrieval, 0.206s rerank
[entity_heavy/rrf] Q168: 5.44s gen, 0.022s retrieval, 0.335s rerank
[entity_heavy/rrf] Q169: 5.35s gen, 0.019s retrieval, 0.197s rerank
[entity_heavy/rrf] Q170: 5.28s gen, 0.020s retrieval, 0.348s rerank
[entity_heavy/rrf] Q171: 5.10s gen, 0.019s retrieval, 0.228s rerank
[entity_heavy/rrf] Q172: 5.12s gen, 0.021s retrieval, 0.354s rerank
[entity_heavy/rrf] Q173: 7.93s gen, 0.021s retrieval, 0.288s rerank
[entity_heavy/rrf] Q174: 6.16s gen, 0.021s retrieval, 0.180s rerank
[entity_heavy/rrf] Q175: 5.45s gen, 0.020s retrieval, 0.355s rerank
[entity_heavy/rrf] Q176: 5.02s gen, 0.022s retrieval, 0.210s rerank
[entity_heavy/rrf] Q177: 5.52s gen, 0.021s retrieval, 0.230s rerank
[entity_heavy/rrf] Q178: 5.42s gen, 0.019s retrieval, 0.282s rerank
[entity_heavy/rrf] Q179: 5.28s gen, 0.019s retrieval, 0.264s rerank
[entity_heavy/rrf] Q180: 5.28s gen, 0.020s retrieval, 0.195s rerank
[open_ended/linear] Q181: 0.00s gen, 0.017s retrieval, 0.094s rerank [ABSTAINED]
[open_ended/linear] Q182: 0.00s gen, 0.022s retrieval, 0.077s rerank [ABSTAINED]
[open_ended/linear] Q183: 0.00s gen, 0.016s retrieval, 0.105s rerank [ABSTAINED]
[open_ended/linear] Q184: 0.00s gen, 0.016s retrieval, 0.113s rerank [ABSTAINED]
[open_ended/linear] Q185: 0.00s gen, 0.016s retrieval, 0.156s rerank [ABSTAINED]
[open_ended/linear] Q186: 0.00s gen, 0.014s retrieval, 0.074s rerank [ABSTAINED]
[open_ended/linear] Q187: 0.00s gen, 0.015s retrieval, 0.186s rerank [ABSTAINED]
[open_ended/linear] Q188: 0.00s gen, 0.017s retrieval, 0.082s rerank [ABSTAINED]
[open_ended/linear] Q189: 0.00s gen, 0.015s retrieval, 0.157s rerank [ABSTAINED]
[open_ended/linear] Q190: 5.57s gen, 0.016s retrieval, 0.071s rerank
[open_ended/linear] Q191: 0.00s gen, 0.018s retrieval, 0.194s rerank [ABSTAINED]
[open_ended/linear] Q192: 0.00s gen, 0.013s retrieval, 0.115s rerank [ABSTAINED]
[open_ended/linear] Q193: 0.00s gen, 0.016s retrieval, 0.100s rerank [ABSTAINED]
[open_ended/linear] Q194: 0.00s gen, 0.013s retrieval, 0.180s rerank [ABSTAINED]
[open_ended/linear] Q195: 0.00s gen, 0.018s retrieval, 0.150s rerank [ABSTAINED]
[open_ended/linear] Q196: 0.00s gen, 0.014s retrieval, 0.109s rerank [ABSTAINED]
[open_ended/linear] Q197: 0.00s gen, 0.014s retrieval, 0.241s rerank [ABSTAINED]
[open_ended/linear] Q198: 0.00s gen, 0.020s retrieval, 0.140s rerank [ABSTAINED]
[open_ended/linear] Q199: 0.00s gen, 0.018s retrieval, 0.154s rerank [ABSTAINED]
[open_ended/linear] Q200: 0.00s gen, 0.014s retrieval, 0.144s rerank [ABSTAINED]
Wrote metadata to results\novel_pipeline_raw_outputs_roundJ_metadata.json
Wrote 200 rows to results\novel_pipeline_raw_outputs_roundJ.csv (20 abstained)
