.\.venv\Scripts\python.exe : Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to 
enable higher rate limits and faster downloads.
At line:3 char:1
+ .\.venv\Scripts\python.exe scripts\run_ablation.py --out results\abla ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (Warning: You ar...ster downloads.:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 

[bm25_only] Q191: 4.45s gen, 0.016s retrieval
[bm25_only] Q192: 3.62s gen, 0.018s retrieval
[bm25_only] Q193: 4.83s gen, 0.020s retrieval
[bm25_only] Q194: 4.16s gen, 0.017s retrieval
[bm25_only] Q195: 5.20s gen, 0.017s retrieval
[bm25_only] Q196: 4.75s gen, 0.016s retrieval
[bm25_only] Q197: 4.56s gen, 0.016s retrieval
[bm25_only] Q198: 5.21s gen, 0.019s retrieval
[bm25_only] Q199: 5.17s gen, 0.017s retrieval
[bm25_only] Q200: 4.07s gen, 0.017s retrieval
[vector_only] Q001: 11.15s gen, 0.018s retrieval
[vector_only] Q002: 6.71s gen, 0.027s retrieval
[vector_only] Q003: 9.46s gen, 0.018s retrieval
[vector_only] Q004: 4.72s gen, 0.023s retrieval
[vector_only] Q005: 8.20s gen, 0.021s retrieval
[vector_only] Q006: 5.24s gen, 0.015s retrieval
[vector_only] Q007: 12.18s gen, 0.021s retrieval
[vector_only] Q008: 4.31s gen, 0.024s retrieval
[vector_only] Q009: 3.68s gen, 0.016s retrieval
[vector_only] Q010: 3.79s gen, 0.020s retrieval
[vector_only] Q011: 10.00s gen, 0.024s retrieval
[vector_only] Q012: 4.69s gen, 0.021s retrieval
[vector_only] Q013: 6.40s gen, 0.022s retrieval
[vector_only] Q014: 8.51s gen, 0.020s retrieval
[vector_only] Q015: 5.17s gen, 0.021s retrieval
[vector_only] Q016: 11.20s gen, 0.021s retrieval
[vector_only] Q017: 8.09s gen, 0.020s retrieval
[vector_only] Q018: 4.04s gen, 0.022s retrieval
[vector_only] Q019: 3.84s gen, 0.020s retrieval
[vector_only] Q020: 3.61s gen, 0.020s retrieval
[vector_only] Q021: 9.63s gen, 0.022s retrieval
[vector_only] Q022: 5.88s gen, 0.024s retrieval
[vector_only] Q023: 10.60s gen, 0.031s retrieval
[vector_only] Q024: 8.41s gen, 0.027s retrieval
[vector_only] Q025: 8.68s gen, 0.021s retrieval
[vector_only] Q026: 6.41s gen, 0.021s retrieval
[vector_only] Q027: 13.16s gen, 0.020s retrieval
[vector_only] Q028: 4.05s gen, 0.018s retrieval
[vector_only] Q029: 11.31s gen, 0.021s retrieval
[vector_only] Q030: 4.69s gen, 0.024s retrieval
[vector_only] Q031: 17.70s gen, 0.028s retrieval
[vector_only] Q032: 3.99s gen, 0.017s retrieval
[vector_only] Q033: 13.15s gen, 0.021s retrieval
[vector_only] Q034: 7.27s gen, 0.023s retrieval
[vector_only] Q035: 7.17s gen, 0.018s retrieval
[vector_only] Q036: 4.11s gen, 0.019s retrieval
[vector_only] Q037: 8.48s gen, 0.020s retrieval
[vector_only] Q038: 6.26s gen, 0.021s retrieval
[vector_only] Q039: 5.14s gen, 0.021s retrieval
