query_id,config,type,both_hit@3,both_hit@5,both_hit@10
COMPOUND-B-CSE421-12,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE421-13,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE421-14,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE421-15,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE421-16,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE421-17,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE421-18,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE421-19,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE421-20,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE421-21,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE421-22,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE421-23,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE421-24,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE421-25,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE421-26,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE421-27,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE421-28,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE422-01,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE422-02,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE422-03,bm25_only,faculty_room,False,False,False
