route,signal,threshold,tp,fp,fn,tn,precision,recall,f1,accuracy
open_ended,query_confidence,0.0924,87,89,98,98,0.4943181818181818,0.4702702702702703,0.4819944598337951,0.49731182795698925
open_ended,query_confidence,0.0926,87,90,98,97,0.4915254237288136,0.4702702702702703,0.48066298342541436,0.4946236559139785
open_ended,query_confidence,0.0927,88,92,97,95,0.4888888888888889,0.4756756756756757,0.48219178082191777,0.49193548387096775
open_ended,query_confidence,0.0932,88,93,97,94,0.4861878453038674,0.4756756756756757,0.4808743169398907,0.489247311827957
open_ended,query_confidence,0.095,88,93,97,94,0.4861878453038674,0.4756756756756757,0.4808743169398907,0.489247311827957
open_ended,query_confidence,0.0969,88,95,97,92,0.4808743169398907,0.4756756756756757,0.4782608695652174,0.4838709677419355
open_ended,query_confidence,0.0985,88,95,97,92,0.4808743169398907,0.4756756756756757,0.4782608695652174,0.4838709677419355
open_ended,query_confidence,0.1024,89,95,96,92,0.483695652173913,0.4810810810810811,0.4823848238482385,0.48655913978494625
open_ended,query_confidence,0.1036,90,96,95,91,0.4838709677419355,0.4864864864864865,0.48517520215633425,0.48655913978494625
open_ended,query_confidence,0.1038,90,97,95,90,0.48128342245989303,0.4864864864864865,0.48387096774193544,0.4838709677419355
open_ended,query_confidence,0.105,90,97,95,90,0.48128342245989303,0.4864864864864865,0.48387096774193544,0.4838709677419355
open_ended,query_confidence,0.1078,91,97,94,90,0.48404255319148937,0.4918918918918919,0.4879356568364611,0.48655913978494625
open_ended,query_confidence,0.1092,93,97,92,90,0.48947368421052634,0.5027027027027027,0.49600000000000005,0.49193548387096775
open_ended,query_confidence,0.1125,94,97,91,90,0.49214659685863876,0.5081081081081081,0.5,0.4946236559139785
open_ended,query_confidence,0.1132,94,98,91,89,0.4895833333333333,0.5081081081081081,0.4986737400530504,0.49193548387096775
open_ended,query_confidence,0.1138,94,99,91,88,0.48704663212435234,0.5081081081081081,0.4973544973544973,0.489247311827957
open_ended,query_confidence,0.1148,94,99,91,88,0.48704663212435234,0.5081081081081081,0.4973544973544973,0.489247311827957
open_ended,query_confidence,0.115,95,99,90,88,0.4896907216494845,0.5135135135135135,0.5013192612137203,0.49193548387096775
open_ended,query_confidence,0.1165,96,100,89,87,0.4897959183673469,0.518918918918919,0.5039370078740156,0.49193548387096775
open_ended,query_confidence,0.1178,98,100,87,87,0.494949494949495,0.5297297297297298,0.5117493472584856,0.49731182795698925
open_ended,query_confidence,0.1179,98,100,87,87,0.494949494949495,0.5297297297297298,0.5117493472584856,0.49731182795698925
open_ended,query_confidence,0.1187,98,102,87,85,0.49,0.5297297297297298,0.5090909090909091,0.49193548387096775
open_ended,query_confidence,0.1193,98,103,87,84,0.48756218905472637,0.5297297297297298,0.5077720207253885,0.489247311827957
open_ended,query_confidence,0.1198,98,103,87,84,0.48756218905472637,0.5297297297297298,0.5077720207253885,0.489247311827957
open_ended,query_confidence,0.122,98,105,87,82,0.4827586206896552,0.5297297297297298,0.5051546391752577,0.4838709677419355
open_ended,query_confidence,0.1224,99,105,86,82,0.4852941176470588,0.5351351351351351,0.5089974293059126,0.48655913978494625
