python : 
At line:7 char:1
+ python -u scripts/run_novel_pipeline.py --out results/novel_pipeline_ ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 103/103 [00:00<00:00, 4346.04it/s]
[entity_heavy/rrf] Q161: 4.64s gen, 0.019s retrieval, 0.000s rerank
[entity_heavy/rrf] Q162: 4.93s gen, 0.018s retrieval, 0.000s rerank
[entity_heavy/rrf] Q163: 5.60s gen, 0.025s retrieval, 0.000s rerank
[entity_heavy/rrf] Q164: 5.78s gen, 0.018s retrieval, 0.000s rerank
[entity_heavy/rrf] Q165: 5.20s gen, 0.024s retrieval, 0.000s rerank
[entity_heavy/rrf] Q166: 6.19s gen, 0.021s retrieval, 0.000s rerank
[entity_heavy/rrf] Q167: 5.15s gen, 0.018s retrieval, 0.000s rerank
[entity_heavy/rrf] Q168: 5.90s gen, 0.017s retrieval, 0.000s rerank
[entity_heavy/rrf] Q169: 5.28s gen, 0.020s retrieval, 0.000s rerank
[entity_heavy/rrf] Q170: 6.37s gen, 0.018s retrieval, 0.000s rerank
[entity_heavy/rrf] Q171: 9.40s gen, 0.018s retrieval, 0.000s rerank
[entity_heavy/rrf] Q172: 5.95s gen, 0.018s retrieval, 0.000s rerank
[entity_heavy/rrf] Q173: 5.12s gen, 0.017s retrieval, 0.000s rerank
[entity_heavy/rrf] Q174: 6.00s gen, 0.021s retrieval, 0.000s rerank
[entity_heavy/rrf] Q175: 5.75s gen, 0.016s retrieval, 0.000s rerank
[entity_heavy/rrf] Q176: 5.30s gen, 0.018s retrieval, 0.000s rerank
[entity_heavy/rrf] Q177: 5.07s gen, 0.021s retrieval, 0.000s rerank
[entity_heavy/rrf] Q178: 6.05s gen, 0.016s retrieval, 0.000s rerank
[entity_heavy/rrf] Q179: 5.32s gen, 0.018s retrieval, 0.000s rerank
[entity_heavy/rrf] Q180: 5.15s gen, 0.021s retrieval, 0.000s rerank
[entity_heavy/rrf] Q181: 3.95s gen, 0.019s retrieval, 0.000s rerank
[entity_heavy/rrf] Q182: 5.22s gen, 0.024s retrieval, 0.000s rerank
[entity_heavy/rrf] Q183: 4.54s gen, 0.019s retrieval, 0.000s rerank
[entity_heavy/rrf] Q184: 5.30s gen, 0.016s retrieval, 0.000s rerank
[entity_heavy/rrf] Q185: 5.02s gen, 0.015s retrieval, 0.000s rerank
[entity_heavy/rrf] Q186: 3.65s gen, 0.017s retrieval, 0.000s rerank
[entity_heavy/rrf] Q187: 3.76s gen, 0.015s retrieval, 0.000s rerank
[entity_heavy/rrf] Q188: 4.42s gen, 0.017s retrieval, 0.000s rerank
[entity_heavy/rrf] Q189: 5.24s gen, 0.019s retrieval, 0.000s rerank
[entity_heavy/rrf] Q190: 5.28s gen, 0.017s retrieval, 0.000s rerank
[entity_heavy/rrf] Q191: 4.48s gen, 0.014s retrieval, 0.000s rerank
[entity_heavy/rrf] Q192: 4.37s gen, 0.015s retrieval, 0.000s rerank
[entity_heavy/rrf] Q193: 4.82s gen, 0.016s retrieval, 0.000s rerank
[entity_heavy/rrf] Q194: 4.35s gen, 0.014s retrieval, 0.000s rerank
[entity_heavy/rrf] Q195: 6.30s gen, 0.019s retrieval, 0.000s rerank
[entity_heavy/rrf] Q196: 4.65s gen, 0.015s retrieval, 0.000s rerank
[entity_heavy/rrf] Q197: 4.58s gen, 0.016s retrieval, 0.000s rerank
[entity_heavy/rrf] Q198: 5.33s gen, 0.017s retrieval, 0.000s rerank
[entity_heavy/rrf] Q199: 5.28s gen, 0.016s retrieval, 0.000s rerank
[entity_heavy/rrf] Q200: 4.21s gen, 0.019s retrieval, 0.000s rerank
Wrote metadata to results\novel_pipeline_raw_outputs_roundL_noreranker_metadata.json
Wrote 200 rows to results\novel_pipeline_raw_outputs_roundL_noreranker.csv (1 abstained)
