.\.venv\Scripts\python.exe : Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to 
enable higher rate limits and faster downloads.
At line:4 char:1
+ .\.venv\Scripts\python.exe scripts\run_ablation.py --out results\abla ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (Warning: You ar...ster downloads.:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 

[bm25_only] Q186: 3.57s gen, 0.015s retrieval
[bm25_only] Q187: 3.73s gen, 0.015s retrieval
[bm25_only] Q188: 4.12s gen, 0.021s retrieval
[bm25_only] Q189: 5.52s gen, 0.020s retrieval
[bm25_only] Q190: 5.33s gen, 0.019s retrieval
[bm25_only] Q191: 4.33s gen, 0.015s retrieval
[bm25_only] Q192: 3.54s gen, 0.017s retrieval
[bm25_only] Q193: 4.75s gen, 0.020s retrieval
[bm25_only] Q194: 4.15s gen, 0.016s retrieval
[bm25_only] Q195: 5.17s gen, 0.016s retrieval
[bm25_only] Q196: 4.64s gen, 0.018s retrieval
[bm25_only] Q197: 4.54s gen, 0.014s retrieval
[bm25_only] Q198: 5.08s gen, 0.020s retrieval
[bm25_only] Q199: 5.12s gen, 0.019s retrieval
[bm25_only] Q200: 4.05s gen, 0.016s retrieval
[vector_only] Q001: 10.05s gen, 0.029s retrieval
[vector_only] Q002: 6.40s gen, 0.026s retrieval
[vector_only] Q003: 8.52s gen, 0.020s retrieval
[vector_only] Q004: 6.90s gen, 0.020s retrieval
[vector_only] Q005: 7.95s gen, 0.019s retrieval
[vector_only] Q006: 5.11s gen, 0.014s retrieval
[vector_only] Q007: 10.04s gen, 0.020s retrieval
[vector_only] Q008: 4.20s gen, 0.021s retrieval
[vector_only] Q009: 3.58s gen, 0.014s retrieval
[vector_only] Q010: 4.25s gen, 0.021s retrieval
[vector_only] Q011: 8.63s gen, 0.020s retrieval
[vector_only] Q012: 4.69s gen, 0.021s retrieval
[vector_only] Q013: 7.69s gen, 0.025s retrieval
[vector_only] Q014: 7.80s gen, 0.019s retrieval
[vector_only] Q015: 9.05s gen, 0.021s retrieval
[vector_only] Q016: 9.03s gen, 0.021s retrieval
[vector_only] Q017: 7.75s gen, 0.018s retrieval
[vector_only] Q018: 4.10s gen, 0.017s retrieval
[vector_only] Q019: 3.76s gen, 0.018s retrieval
[vector_only] Q020: 3.54s gen, 0.016s retrieval
[vector_only] Q021: 8.77s gen, 0.022s retrieval
[vector_only] Q022: 6.27s gen, 0.021s retrieval
[vector_only] Q023: 5.73s gen, 0.020s retrieval
[vector_only] Q024: 8.20s gen, 0.027s retrieval
[vector_only] Q025: 7.10s gen, 0.024s retrieval
[vector_only] Q026: 6.15s gen, 0.019s retrieval
[vector_only] Q027: 6.70s gen, 0.024s retrieval
[vector_only] Q028: 6.00s gen, 0.021s retrieval
[vector_only] Q029: 3.94s gen, 0.016s retrieval
[vector_only] Q030: 4.69s gen, 0.022s retrieval
[vector_only] Q031: 4.53s gen, 0.019s retrieval
[vector_only] Q032: 10.43s gen, 0.018s retrieval
[vector_only] Q033: 3.78s gen, 0.017s retrieval
[vector_only] Q034: 12.23s gen, 0.022s retrieval
[vector_only] Q035: 7.30s gen, 0.021s retrieval
[vector_only] Q036: 7.00s gen, 0.016s retrieval
[vector_only] Q037: 4.14s gen, 0.017s retrieval
[vector_only] Q038: 5.93s gen, 0.019s retrieval
[vector_only] Q039: 9.73s gen, 0.021s retrieval
