.\.venv\Scripts\python.exe : Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to 
enable higher rate limits and faster downloads.
At line:3 char:1
+ .\.venv\Scripts\python.exe scripts\run_novel_pipeline.py --out result ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (Warning: You ar...ster downloads.:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 

Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 103/103 [00:00<00:00, 6446.81it/s]

Loading weights:   0%|          | 0/105 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 105/105 [00:00<00:00, 9181.74it/s]
[entity_heavy/rrf] Q150: 4.88s gen, 0.016s retrieval, 0.074s rerank
[entity_heavy/rrf] Q151: 5.08s gen, 0.021s retrieval, 0.167s rerank
[entity_heavy/rrf] Q152: 4.91s gen, 0.027s retrieval, 0.185s rerank
[entity_heavy/rrf] Q153: 5.33s gen, 0.021s retrieval, 0.123s rerank
[entity_heavy/rrf] Q154: 5.42s gen, 0.024s retrieval, 0.092s rerank
[entity_heavy/rrf] Q155: 4.80s gen, 0.024s retrieval, 0.125s rerank
[entity_heavy/rrf] Q156: 4.90s gen, 0.021s retrieval, 0.098s rerank
[entity_heavy/rrf] Q157: 5.45s gen, 0.021s retrieval, 0.159s rerank
[entity_heavy/rrf] Q158: 4.58s gen, 0.021s retrieval, 0.055s rerank
[entity_heavy/rrf] Q159: 5.21s gen, 0.027s retrieval, 0.175s rerank
[entity_heavy/rrf] Q160: 4.91s gen, 0.022s retrieval, 0.134s rerank
[entity_heavy/rrf] Q161: 4.69s gen, 0.024s retrieval, 0.059s rerank
[entity_heavy/rrf] Q162: 4.91s gen, 0.019s retrieval, 0.124s rerank
[entity_heavy/rrf] Q163: 4.65s gen, 0.022s retrieval, 0.134s rerank
[entity_heavy/rrf] Q164: 4.87s gen, 0.019s retrieval, 0.182s rerank
[entity_heavy/rrf] Q165: 4.98s gen, 0.021s retrieval, 0.217s rerank
[entity_heavy/rrf] Q166: 4.41s gen, 0.023s retrieval, 0.229s rerank
[entity_heavy/rrf] Q167: 4.34s gen, 0.019s retrieval, 0.202s rerank
[entity_heavy/rrf] Q168: 4.56s gen, 0.025s retrieval, 0.252s rerank
[entity_heavy/rrf] Q169: 4.59s gen, 0.019s retrieval, 0.215s rerank
[entity_heavy/rrf] Q170: 6.97s gen, 0.022s retrieval, 0.176s rerank
[entity_heavy/rrf] Q171: 4.40s gen, 0.018s retrieval, 0.237s rerank
[entity_heavy/rrf] Q172: 4.48s gen, 0.022s retrieval, 0.143s rerank
[entity_heavy/rrf] Q173: 4.43s gen, 0.020s retrieval, 0.288s rerank
[entity_heavy/rrf] Q174: 4.51s gen, 0.021s retrieval, 0.175s rerank
[entity_heavy/rrf] Q175: 4.56s gen, 0.019s retrieval, 0.214s rerank
[entity_heavy/rrf] Q176: 4.94s gen, 0.019s retrieval, 0.205s rerank
[entity_heavy/rrf] Q177: 4.33s gen, 0.018s retrieval, 0.161s rerank
[entity_heavy/rrf] Q178: 4.92s gen, 0.018s retrieval, 0.250s rerank
[entity_heavy/rrf] Q179: 5.59s gen, 0.018s retrieval, 0.227s rerank
[entity_heavy/rrf] Q180: 4.49s gen, 0.021s retrieval, 0.216s rerank
[open_ended/linear] Q181: 0.00s gen, 0.021s retrieval, 0.090s rerank [ABSTAINED]
[open_ended/linear] Q182: 0.00s gen, 0.026s retrieval, 0.084s rerank [ABSTAINED]
[open_ended/linear] Q183: 0.00s gen, 0.018s retrieval, 0.123s rerank [ABSTAINED]
[open_ended/linear] Q184: 0.00s gen, 0.018s retrieval, 0.122s rerank [ABSTAINED]
[open_ended/linear] Q185: 0.00s gen, 0.019s retrieval, 0.157s rerank [ABSTAINED]
[open_ended/linear] Q186: 0.00s gen, 0.017s retrieval, 0.069s rerank [ABSTAINED]
[open_ended/linear] Q187: 0.00s gen, 0.015s retrieval, 0.190s rerank [ABSTAINED]
[open_ended/linear] Q188: 0.00s gen, 0.019s retrieval, 0.083s rerank [ABSTAINED]
[open_ended/linear] Q189: 0.00s gen, 0.023s retrieval, 0.158s rerank [ABSTAINED]
