.\.venv\Scripts\python.exe : Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to 
enable higher rate limits and faster downloads.
At line:3 char:1
+ .\.venv\Scripts\python.exe scripts\run_novel_pipeline.py --out result ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (Warning: You ar...ster downloads.:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 

Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 103/103 [00:00<?, ?it/s]

Loading weights:   0%|          | 0/105 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 105/105 [00:00<00:00, 6717.03it/s]
[open_ended/linear] Q187: 0.00s gen, 0.014s retrieval, 0.194s rerank [ABSTAINED]
[open_ended/linear] Q188: 0.00s gen, 0.019s retrieval, 0.085s rerank [ABSTAINED]
[open_ended/linear] Q189: 0.00s gen, 0.017s retrieval, 0.168s rerank [ABSTAINED]
[open_ended/linear] Q190: 5.45s gen, 0.016s retrieval, 0.083s rerank
[open_ended/linear] Q191: 0.00s gen, 0.019s retrieval, 0.194s rerank [ABSTAINED]
[open_ended/linear] Q192: 0.00s gen, 0.014s retrieval, 0.146s rerank [ABSTAINED]
[open_ended/linear] Q193: 0.00s gen, 0.015s retrieval, 0.095s rerank [ABSTAINED]
[open_ended/linear] Q194: 0.00s gen, 0.014s retrieval, 0.175s rerank [ABSTAINED]
[open_ended/linear] Q195: 0.00s gen, 0.014s retrieval, 0.162s rerank [ABSTAINED]
[open_ended/linear] Q196: 0.00s gen, 0.018s retrieval, 0.108s rerank [ABSTAINED]
[open_ended/linear] Q197: 0.00s gen, 0.014s retrieval, 0.247s rerank [ABSTAINED]
[open_ended/linear] Q198: 0.00s gen, 0.019s retrieval, 0.137s rerank [ABSTAINED]
[open_ended/linear] Q199: 0.00s gen, 0.015s retrieval, 0.156s rerank [ABSTAINED]
[open_ended/linear] Q200: 0.00s gen, 0.015s retrieval, 0.147s rerank [ABSTAINED]
Wrote metadata to results\novel_pipeline_raw_outputs_roundH_metadata.json
Wrote 200 rows to results\novel_pipeline_raw_outputs_roundH.csv (20 abstained)
