.\.venv\Scripts\python.exe : 
At line:3 char:1
+ .\.venv\Scripts\python.exe scripts\run_novel_pipeline.py --out result ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 103/103 [00:00<00:00, 6586.47it/s]
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits 
and faster downloads.

Loading weights:   0%|          | 0/105 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 105/105 [00:00<00:00, 6699.15it/s]
[entity_heavy/rrf] Q134: 4.10s gen, 0.018s retrieval, 0.100s rerank
[entity_heavy/rrf] Q135: 4.04s gen, 0.018s retrieval, 0.117s rerank
[entity_heavy/rrf] Q136: 4.44s gen, 0.018s retrieval, 0.117s rerank
[entity_heavy/rrf] Q137: 4.27s gen, 0.017s retrieval, 0.111s rerank
[entity_heavy/rrf] Q138: 4.81s gen, 0.018s retrieval, 0.072s rerank
[entity_heavy/rrf] Q139: 4.03s gen, 0.017s retrieval, 0.108s rerank
[entity_heavy/rrf] Q140: 5.36s gen, 0.019s retrieval, 0.120s rerank
[entity_heavy/rrf] Q141: 4.20s gen, 0.018s retrieval, 0.115s rerank
[entity_heavy/rrf] Q142: 4.10s gen, 0.017s retrieval, 0.119s rerank
[entity_heavy/rrf] Q143: 7.86s gen, 0.018s retrieval, 0.093s rerank
[entity_heavy/rrf] Q144: 8.86s gen, 0.018s retrieval, 0.091s rerank
[entity_heavy/rrf] Q145: 8.53s gen, 0.018s retrieval, 0.103s rerank
[entity_heavy/rrf] Q146: 4.60s gen, 0.017s retrieval, 0.115s rerank
[entity_heavy/rrf] Q147: 4.82s gen, 0.018s retrieval, 0.075s rerank
[entity_heavy/rrf] Q148: 5.69s gen, 0.017s retrieval, 0.120s rerank
[entity_heavy/rrf] Q149: 4.93s gen, 0.017s retrieval, 0.078s rerank
[entity_heavy/rrf] Q150: 4.99s gen, 0.017s retrieval, 0.081s rerank
[entity_heavy/rrf] Q151: 5.78s gen, 0.022s retrieval, 0.185s rerank
[entity_heavy/rrf] Q152: 4.93s gen, 0.025s retrieval, 0.184s rerank
[entity_heavy/rrf] Q153: 5.61s gen, 0.022s retrieval, 0.131s rerank
[entity_heavy/rrf] Q154: 5.50s gen, 0.024s retrieval, 0.156s rerank
[entity_heavy/rrf] Q155: 4.86s gen, 0.023s retrieval, 0.212s rerank
[entity_heavy/rrf] Q156: 4.94s gen, 0.024s retrieval, 0.098s rerank
[entity_heavy/rrf] Q157: 5.62s gen, 0.022s retrieval, 0.163s rerank
[entity_heavy/rrf] Q158: 4.67s gen, 0.023s retrieval, 0.064s rerank
[entity_heavy/rrf] Q159: 5.83s gen, 0.023s retrieval, 0.175s rerank
[entity_heavy/rrf] Q160: 4.86s gen, 0.026s retrieval, 0.197s rerank
[entity_heavy/rrf] Q161: 4.74s gen, 0.022s retrieval, 0.061s rerank
[entity_heavy/rrf] Q162: 4.97s gen, 0.022s retrieval, 0.094s rerank
[entity_heavy/rrf] Q163: 4.74s gen, 0.023s retrieval, 0.140s rerank
[entity_heavy/rrf] Q164: 4.89s gen, 0.022s retrieval, 0.184s rerank
[entity_heavy/rrf] Q165: 5.04s gen, 0.022s retrieval, 0.200s rerank
[entity_heavy/rrf] Q166: 5.69s gen, 0.022s retrieval, 0.236s rerank
[entity_heavy/rrf] Q167: 7.81s gen, 0.020s retrieval, 0.213s rerank
[entity_heavy/rrf] Q168: 5.32s gen, 0.023s retrieval, 0.379s rerank
[entity_heavy/rrf] Q169: 5.23s gen, 0.021s retrieval, 0.215s rerank
[entity_heavy/rrf] Q170: 5.17s gen, 0.021s retrieval, 0.377s rerank
[entity_heavy/rrf] Q171: 5.05s gen, 0.021s retrieval, 0.244s rerank
[entity_heavy/rrf] Q172: 5.00s gen, 0.022s retrieval, 0.366s rerank
[entity_heavy/rrf] Q173: 5.45s gen, 0.020s retrieval, 0.284s rerank
[entity_heavy/rrf] Q174: 5.99s gen, 0.020s retrieval, 0.190s rerank
[entity_heavy/rrf] Q175: 5.25s gen, 0.022s retrieval, 0.381s rerank
[entity_heavy/rrf] Q176: 4.93s gen, 0.020s retrieval, 0.235s rerank
[entity_heavy/rrf] Q177: 5.41s gen, 0.020s retrieval, 0.232s rerank
[entity_heavy/rrf] Q178: 5.29s gen, 0.020s retrieval, 0.302s rerank
[entity_heavy/rrf] Q179: 5.23s gen, 0.019s retrieval, 0.296s rerank
[entity_heavy/rrf] Q180: 5.14s gen, 0.021s retrieval, 0.230s rerank
[open_ended/linear] Q181: 0.00s gen, 0.019s retrieval, 0.074s rerank [ABSTAINED]
[open_ended/linear] Q182: 0.00s gen, 0.024s retrieval, 0.086s rerank [ABSTAINED]
[open_ended/linear] Q183: 0.00s gen, 0.019s retrieval, 0.077s rerank [ABSTAINED]
[open_ended/linear] Q184: 0.00s gen, 0.016s retrieval, 0.129s rerank [ABSTAINED]
[open_ended/linear] Q185: 0.00s gen, 0.014s retrieval, 0.168s rerank [ABSTAINED]
[open_ended/linear] Q186: 0.00s gen, 0.014s retrieval, 0.075s rerank [ABSTAINED]
[open_ended/linear] Q187: 0.00s gen, 0.017s retrieval, 0.217s rerank [ABSTAINED]
[open_ended/linear] Q188: 0.00s gen, 0.021s retrieval, 0.076s rerank [ABSTAINED]
[open_ended/linear] Q189: 0.00s gen, 0.018s retrieval, 0.146s rerank [ABSTAINED]
[open_ended/linear] Q190: 0.00s gen, 0.017s retrieval, 0.092s rerank [ABSTAINED]
[open_ended/linear] Q191: 0.00s gen, 0.013s retrieval, 0.181s rerank [ABSTAINED]
[open_ended/linear] Q192: 0.00s gen, 0.016s retrieval, 0.150s rerank [ABSTAINED]
[open_ended/linear] Q193: 0.00s gen, 0.017s retrieval, 0.110s rerank [ABSTAINED]
[open_ended/linear] Q194: 0.00s gen, 0.014s retrieval, 0.191s rerank [ABSTAINED]
[open_ended/linear] Q195: 0.00s gen, 0.015s retrieval, 0.050s rerank [ABSTAINED]
[open_ended/linear] Q196: 0.00s gen, 0.016s retrieval, 0.087s rerank [ABSTAINED]
[open_ended/linear] Q197: 0.00s gen, 0.014s retrieval, 0.154s rerank [ABSTAINED]
[open_ended/linear] Q198: 0.00s gen, 0.016s retrieval, 0.071s rerank [ABSTAINED]
[open_ended/linear] Q199: 0.00s gen, 0.017s retrieval, 0.185s rerank [ABSTAINED]
[open_ended/linear] Q200: 0.00s gen, 0.015s retrieval, 0.058s rerank [ABSTAINED]
Wrote metadata to results\novel_pipeline_raw_outputs_roundK_metadata.json
Wrote 200 rows to results\novel_pipeline_raw_outputs_roundK.csv (21 abstained)
