.\.venv\Scripts\python.exe : Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to 
enable higher rate limits and faster downloads.
At line:3 char:1
+ .\.venv\Scripts\python.exe scripts\run_ablation.py --out results\abla ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (Warning: You ar...ster downloads.:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 

[bm25_only] Q109: 4.06s gen, 0.019s retrieval
[bm25_only] Q110: 4.71s gen, 0.019s retrieval
[bm25_only] Q111: 6.47s gen, 0.016s retrieval
[bm25_only] Q112: 4.81s gen, 0.015s retrieval
[bm25_only] Q113: 3.74s gen, 0.017s retrieval
[bm25_only] Q114: 5.18s gen, 0.016s retrieval
[bm25_only] Q115: 4.65s gen, 0.016s retrieval
[bm25_only] Q116: 4.74s gen, 0.015s retrieval
[bm25_only] Q117: 5.23s gen, 0.016s retrieval
[bm25_only] Q118: 4.10s gen, 0.015s retrieval
[bm25_only] Q119: 3.92s gen, 0.015s retrieval
[bm25_only] Q120: 4.54s gen, 0.018s retrieval
[bm25_only] Q121: 5.22s gen, 0.018s retrieval
[bm25_only] Q122: 4.43s gen, 0.018s retrieval
[bm25_only] Q123: 4.22s gen, 0.015s retrieval
[bm25_only] Q124: 4.96s gen, 0.020s retrieval
[bm25_only] Q125: 4.90s gen, 0.016s retrieval
[bm25_only] Q126: 4.67s gen, 0.016s retrieval
[bm25_only] Q127: 4.71s gen, 0.018s retrieval
[bm25_only] Q128: 4.11s gen, 0.017s retrieval
[bm25_only] Q129: 4.39s gen, 0.018s retrieval
[bm25_only] Q130: 4.71s gen, 0.020s retrieval
[bm25_only] Q131: 4.15s gen, 0.017s retrieval
[bm25_only] Q132: 4.03s gen, 0.017s retrieval
[bm25_only] Q133: 4.04s gen, 0.017s retrieval
[bm25_only] Q134: 4.01s gen, 0.016s retrieval
[bm25_only] Q135: 3.90s gen, 0.016s retrieval
[bm25_only] Q136: 4.06s gen, 0.016s retrieval
[bm25_only] Q137: 4.04s gen, 0.017s retrieval
[bm25_only] Q138: 4.69s gen, 0.016s retrieval
[bm25_only] Q139: 4.05s gen, 0.017s retrieval
[bm25_only] Q140: 4.41s gen, 0.018s retrieval
[bm25_only] Q141: 4.13s gen, 0.018s retrieval
[bm25_only] Q142: 3.82s gen, 0.016s retrieval
[bm25_only] Q143: 7.65s gen, 0.017s retrieval
[bm25_only] Q144: 7.86s gen, 0.017s retrieval
[bm25_only] Q145: 8.66s gen, 0.017s retrieval
[bm25_only] Q146: 4.07s gen, 0.017s retrieval
[bm25_only] Q147: 4.92s gen, 0.019s retrieval
[bm25_only] Q148: 5.89s gen, 0.016s retrieval
[bm25_only] Q149: 4.89s gen, 0.018s retrieval
[bm25_only] Q150: 7.15s gen, 0.017s retrieval
[bm25_only] Q151: 5.34s gen, 0.023s retrieval
[bm25_only] Q152: 5.08s gen, 0.021s retrieval
[bm25_only] Q153: 5.74s gen, 0.023s retrieval
[bm25_only] Q154: 5.02s gen, 0.021s retrieval
[bm25_only] Q155: 4.76s gen, 0.022s retrieval
[bm25_only] Q156: 4.93s gen, 0.021s retrieval
[bm25_only] Q157: 6.01s gen, 0.022s retrieval
[bm25_only] Q158: 4.83s gen, 0.020s retrieval
[bm25_only] Q159: 5.54s gen, 0.022s retrieval
[bm25_only] Q160: 4.78s gen, 0.023s retrieval
[bm25_only] Q161: 4.65s gen, 0.021s retrieval
[bm25_only] Q162: 4.94s gen, 0.022s retrieval
[bm25_only] Q163: 5.79s gen, 0.021s retrieval
[bm25_only] Q164: 5.94s gen, 0.023s retrieval
[bm25_only] Q165: 5.28s gen, 0.022s retrieval
[bm25_only] Q166: 6.21s gen, 0.021s retrieval
[bm25_only] Q167: 5.22s gen, 0.020s retrieval
[bm25_only] Q168: 5.33s gen, 0.021s retrieval
[bm25_only] Q169: 5.54s gen, 0.020s retrieval
[bm25_only] Q170: 5.27s gen, 0.020s retrieval
[bm25_only] Q171: 8.25s gen, 0.020s retrieval
[bm25_only] Q172: 5.49s gen, 0.020s retrieval
[bm25_only] Q173: 5.19s gen, 0.020s retrieval
[bm25_only] Q174: 6.26s gen, 0.020s retrieval
[bm25_only] Q175: 5.30s gen, 0.020s retrieval
[bm25_only] Q176: 5.19s gen, 0.020s retrieval
[bm25_only] Q177: 5.14s gen, 0.019s retrieval
[bm25_only] Q178: 6.03s gen, 0.020s retrieval
[bm25_only] Q179: 5.40s gen, 0.021s retrieval
[bm25_only] Q180: 5.21s gen, 0.019s retrieval
[bm25_only] Q181: 3.96s gen, 0.018s retrieval
[bm25_only] Q182: 5.25s gen, 0.022s retrieval
[bm25_only] Q183: 4.64s gen, 0.019s retrieval
[bm25_only] Q184: 5.37s gen, 0.019s retrieval
[bm25_only] Q185: 5.13s gen, 0.017s retrieval
[bm25_only] Q186: 3.67s gen, 0.015s retrieval
[bm25_only] Q187: 3.82s gen, 0.015s retrieval
[bm25_only] Q188: 4.25s gen, 0.020s retrieval
[bm25_only] Q189: 5.77s gen, 0.021s retrieval
[bm25_only] Q190: 5.39s gen, 0.021s retrieval
[bm25_only] Q191: 4.59s gen, 0.015s retrieval
[bm25_only] Q192: 3.68s gen, 0.015s retrieval
[bm25_only] Q193: 4.92s gen, 0.021s retrieval
[bm25_only] Q194: 4.32s gen, 0.016s retrieval
[bm25_only] Q195: 5.29s gen, 0.018s retrieval
[bm25_only] Q196: 4.79s gen, 0.017s retrieval
[bm25_only] Q197: 4.62s gen, 0.017s retrieval
[bm25_only] Q198: 5.29s gen, 0.019s retrieval
[bm25_only] Q199: 5.31s gen, 0.018s retrieval
[bm25_only] Q200: 4.25s gen, 0.028s retrieval
[vector_only] Q001: 11.18s gen, 0.019s retrieval
[vector_only] Q002: 6.70s gen, 0.027s retrieval
[vector_only] Q003: 9.43s gen, 0.018s retrieval
[vector_only] Q004: 4.72s gen, 0.023s retrieval
[vector_only] Q005: 8.24s gen, 0.022s retrieval
[vector_only] Q006: 5.20s gen, 0.016s retrieval
[vector_only] Q007: 12.34s gen, 0.021s retrieval
[vector_only] Q008: 4.38s gen, 0.023s retrieval
[vector_only] Q009: 3.70s gen, 0.017s retrieval
[vector_only] Q010: 3.84s gen, 0.020s retrieval
[vector_only] Q011: 10.07s gen, 0.024s retrieval
[vector_only] Q012: 4.76s gen, 0.021s retrieval
[vector_only] Q013: 6.40s gen, 0.021s retrieval
[vector_only] Q014: 8.38s gen, 0.020s retrieval
[vector_only] Q015: 5.16s gen, 0.024s retrieval
[vector_only] Q016: 11.37s gen, 0.020s retrieval
[vector_only] Q017: 8.08s gen, 0.021s retrieval
[vector_only] Q018: 4.23s gen, 0.022s retrieval
[vector_only] Q019: 3.85s gen, 0.020s retrieval
[vector_only] Q020: 3.59s gen, 0.019s retrieval
[vector_only] Q021: 9.74s gen, 0.022s retrieval
[vector_only] Q022: 5.99s gen, 0.021s retrieval
[vector_only] Q023: 10.63s gen, 0.031s retrieval
[vector_only] Q024: 8.52s gen, 0.026s retrieval
[vector_only] Q025: 8.98s gen, 0.021s retrieval
[vector_only] Q026: 6.38s gen, 0.021s retrieval
[vector_only] Q027: 13.24s gen, 0.020s retrieval
[vector_only] Q028: 4.10s gen, 0.019s retrieval
[vector_only] Q029: 11.49s gen, 0.022s retrieval
[vector_only] Q030: 4.72s gen, 0.023s retrieval
[vector_only] Q031: 18.05s gen, 0.030s retrieval
[vector_only] Q032: 4.01s gen, 0.017s retrieval
[vector_only] Q033: 13.34s gen, 0.021s retrieval
[vector_only] Q034: 7.36s gen, 0.025s retrieval
[vector_only] Q035: 7.23s gen, 0.019s retrieval
[vector_only] Q036: 4.03s gen, 0.019s retrieval
[vector_only] Q037: 8.58s gen, 0.020s retrieval
[vector_only] Q038: 6.32s gen, 0.020s retrieval
[vector_only] Q039: 5.20s gen, 0.021s retrieval
