Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]Loading weights: 100%|##########| 103/103 [00:00<00:00, 5007.92it/s]
[bm25_only] Q121: 4.95s gen, 0.017s retrieval
[bm25_only] Q122: 4.17s gen, 0.024s retrieval
[bm25_only] Q123: 4.36s gen, 0.016s retrieval
[bm25_only] Q124: 3.88s gen, 0.017s retrieval
[bm25_only] Q125: 4.45s gen, 0.014s retrieval
[bm25_only] Q126: 4.56s gen, 0.014s retrieval
[bm25_only] Q127: 4.48s gen, 0.017s retrieval
[bm25_only] Q128: 3.98s gen, 0.016s retrieval
[bm25_only] Q129: 3.87s gen, 0.018s retrieval
[bm25_only] Q130: 5.46s gen, 0.019s retrieval
[bm25_only] Q131: 4.15s gen, 0.015s retrieval
[bm25_only] Q132: 4.13s gen, 0.015s retrieval
[bm25_only] Q133: 4.06s gen, 0.015s retrieval
[bm25_only] Q134: 4.12s gen, 0.015s retrieval
[bm25_only] Q135: 3.98s gen, 0.014s retrieval
[bm25_only] Q136: 4.05s gen, 0.014s retrieval
[bm25_only] Q137: 4.13s gen, 0.015s retrieval
[bm25_only] Q138: 4.73s gen, 0.016s retrieval
[bm25_only] Q139: 4.12s gen, 0.015s retrieval
[bm25_only] Q140: 4.84s gen, 0.016s retrieval
[bm25_only] Q141: 4.19s gen, 0.019s retrieval
[bm25_only] Q142: 4.00s gen, 0.017s retrieval
[bm25_only] Q143: 4.83s gen, 0.016s retrieval
[bm25_only] Q144: 7.95s gen, 0.015s retrieval
[bm25_only] Q145: 8.54s gen, 0.020s retrieval
[bm25_only] Q146: 4.18s gen, 0.014s retrieval
[bm25_only] Q147: 4.86s gen, 0.016s retrieval
[bm25_only] Q148: 4.03s gen, 0.024s retrieval
[bm25_only] Q149: 4.81s gen, 0.022s retrieval
[bm25_only] Q150: 4.97s gen, 0.015s retrieval
[bm25_only] Q151: 5.11s gen, 0.026s retrieval
[bm25_only] Q152: 5.09s gen, 0.024s retrieval
[bm25_only] Q153: 4.88s gen, 0.021s retrieval
[bm25_only] Q154: 5.61s gen, 0.019s retrieval
[bm25_only] Q155: 5.04s gen, 0.019s retrieval
[bm25_only] Q156: 4.87s gen, 0.021s retrieval
[bm25_only] Q157: 5.04s gen, 0.020s retrieval
[bm25_only] Q158: 4.68s gen, 0.019s retrieval
[bm25_only] Q159: 5.49s gen, 0.021s retrieval
[bm25_only] Q160: 5.05s gen, 0.024s retrieval
[bm25_only] Q161: 4.61s gen, 0.021s retrieval
[bm25_only] Q162: 4.91s gen, 0.022s retrieval
[bm25_only] Q163: 5.62s gen, 0.023s retrieval
[bm25_only] Q164: 5.10s gen, 0.021s retrieval
[bm25_only] Q165: 5.27s gen, 0.021s retrieval
[bm25_only] Q166: 5.47s gen, 0.024s retrieval
[bm25_only] Q167: 4.99s gen, 0.020s retrieval
[bm25_only] Q168: 5.28s gen, 0.022s retrieval
[bm25_only] Q169: 5.38s gen, 0.023s retrieval
[bm25_only] Q170: 5.26s gen, 0.023s retrieval
[bm25_only] Q171: 5.32s gen, 0.024s retrieval
[bm25_only] Q172: 5.42s gen, 0.022s retrieval
[bm25_only] Q173: 5.89s gen, 0.022s retrieval
[bm25_only] Q174: 6.12s gen, 0.019s retrieval
[bm25_only] Q175: 5.35s gen, 0.018s retrieval
[bm25_only] Q176: 6.85s gen, 0.023s retrieval
[bm25_only] Q177: 5.14s gen, 0.021s retrieval
[bm25_only] Q178: 5.87s gen, 0.018s retrieval
[bm25_only] Q179: 5.32s gen, 0.022s retrieval
[bm25_only] Q180: 5.19s gen, 0.023s retrieval
[bm25_only] Q181: 3.95s gen, 0.017s retrieval
[bm25_only] Q182: 5.25s gen, 0.024s retrieval
[bm25_only] Q183: 4.56s gen, 0.017s retrieval
[bm25_only] Q184: 5.29s gen, 0.017s retrieval
[bm25_only] Q185: 5.04s gen, 0.019s retrieval
[bm25_only] Q186: 3.64s gen, 0.013s retrieval
[bm25_only] Q187: 3.78s gen, 0.015s retrieval
[bm25_only] Q188: 4.39s gen, 0.017s retrieval
[bm25_only] Q189: 5.64s gen, 0.020s retrieval
[bm25_only] Q190: 5.36s gen, 0.019s retrieval
[bm25_only] Q191: 4.41s gen, 0.014s retrieval
[bm25_only] Q192: 3.59s gen, 0.015s retrieval
[bm25_only] Q193: 4.80s gen, 0.023s retrieval
[bm25_only] Q194: 4.21s gen, 0.014s retrieval
[bm25_only] Q195: 5.19s gen, 0.018s retrieval
[bm25_only] Q196: 4.80s gen, 0.016s retrieval
[bm25_only] Q197: 4.62s gen, 0.016s retrieval
[bm25_only] Q198: 5.24s gen, 0.021s retrieval
[bm25_only] Q199: 5.22s gen, 0.017s retrieval
[bm25_only] Q200: 5.11s gen, 0.015s retrieval
[vector_only] Q001: 11.22s gen, 0.017s retrieval
[vector_only] Q002: 6.58s gen, 0.025s retrieval
[vector_only] Q003: 8.66s gen, 0.018s retrieval
[vector_only] Q004: 4.71s gen, 0.024s retrieval
[vector_only] Q005: 8.04s gen, 0.019s retrieval
[vector_only] Q006: 5.12s gen, 0.015s retrieval
[vector_only] Q007: 12.11s gen, 0.021s retrieval
[vector_only] Q008: 4.30s gen, 0.025s retrieval
[vector_only] Q009: 3.64s gen, 0.014s retrieval
[vector_only] Q010: 4.71s gen, 0.022s retrieval
[vector_only] Q011: 8.68s gen, 0.025s retrieval
[vector_only] Q012: 4.79s gen, 0.018s retrieval
[vector_only] Q013: 6.19s gen, 0.018s retrieval
[vector_only] Q014: 10.22s gen, 0.021s retrieval
[vector_only] Q015: 5.03s gen, 0.023s retrieval
[vector_only] Q016: 11.31s gen, 0.018s retrieval
[vector_only] Q017: 7.79s gen, 0.020s retrieval
[vector_only] Q018: 4.12s gen, 0.022s retrieval
[vector_only] Q019: 3.85s gen, 0.024s retrieval
[vector_only] Q020: 3.56s gen, 0.019s retrieval
[vector_only] Q021: 9.44s gen, 0.019s retrieval
[vector_only] Q022: 6.06s gen, 0.020s retrieval
[vector_only] Q023: 9.80s gen, 0.028s retrieval
[vector_only] Q024: 8.46s gen, 0.029s retrieval
[vector_only] Q025: 8.81s gen, 0.027s retrieval
[vector_only] Q026: 6.45s gen, 0.022s retrieval
[vector_only] Q027: 8.36s gen, 0.022s retrieval
[vector_only] Q028: 4.00s gen, 0.015s retrieval
[vector_only] Q029: 11.31s gen, 0.022s retrieval
[vector_only] Q030: 4.68s gen, 0.024s retrieval
[vector_only] Q031: 17.41s gen, 0.028s retrieval
[vector_only] Q032: 4.58s gen, 0.019s retrieval
[vector_only] Q033: 13.21s gen, 0.027s retrieval
[vector_only] Q034: 7.48s gen, 0.025s retrieval
[vector_only] Q035: 7.21s gen, 0.022s retrieval
[vector_only] Q036: 4.03s gen, 0.018s retrieval
[vector_only] Q037: 8.58s gen, 0.021s retrieval
[vector_only] Q038: 6.11s gen, 0.018s retrieval
[vector_only] Q039: 5.18s gen, 0.021s retrieval
[vector_only] Q040: 5.42s gen, 0.024s retrieval
[vector_only] Q041: 9.04s gen, 0.022s retrieval
[vector_only] Q042: 5.76s gen, 0.020s retrieval
[vector_only] Q043: 6.07s gen, 0.022s retrieval
