.\.venv\Scripts\python.exe : Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to 
enable higher rate limits and faster downloads.
At line:3 char:1
+ .\.venv\Scripts\python.exe scripts\run_ablation.py --queries data\tes ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (Warning: You ar...ster downloads.:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 

[vector_only] BQ011: 5.17s gen, 0.026s retrieval
[vector_only] BQ012: 11.75s gen, 0.025s retrieval
[vector_only] BQ013: 7.62s gen, 0.031s retrieval
[vector_only] BQ014: 7.65s gen, 0.024s retrieval
[vector_only] BQ015: 5.30s gen, 0.030s retrieval
[vector_only] BQ016: 3.87s gen, 0.020s retrieval
[vector_only] BQ017: 7.51s gen, 0.025s retrieval
[vector_only] BQ018: 4.12s gen, 0.024s retrieval
[vector_only] BQ019: 3.97s gen, 0.028s retrieval
[vector_only] BQ020: 5.11s gen, 0.024s retrieval
[vector_only] BQ021: 5.09s gen, 0.023s retrieval
[vector_only] BQ022: 6.08s gen, 0.027s retrieval
[vector_only] BQ023: 5.91s gen, 0.028s retrieval
[vector_only] BQ024: 4.71s gen, 0.029s retrieval
[vector_only] BQ025: 6.69s gen, 0.034s retrieval
[vector_only] BQ026: 7.32s gen, 0.026s retrieval
[vector_only] BQ027: 8.83s gen, 0.029s retrieval
[vector_only] BQ028: 4.08s gen, 0.022s retrieval
[vector_only] BQ029: 11.09s gen, 0.030s retrieval
[vector_only] BQ030: 4.56s gen, 0.024s retrieval
[vector_only] BQ031: 7.23s gen, 0.021s retrieval
[vector_only] BQ032: 3.77s gen, 0.020s retrieval
[vector_only] BQ033: 3.97s gen, 0.025s retrieval
[vector_only] BQ034: 8.53s gen, 0.023s retrieval
[vector_only] BQ035: 7.21s gen, 0.021s retrieval
[vector_only] BQ036: 5.19s gen, 0.022s retrieval
[vector_only] BQ037: 6.03s gen, 0.021s retrieval
[vector_only] BQ038: 4.55s gen, 0.034s retrieval
[vector_only] BQ039: 4.16s gen, 0.023s retrieval
[vector_only] BQ040: 8.33s gen, 0.031s retrieval
[vector_only] BQ041: 8.66s gen, 0.023s retrieval
[vector_only] BQ042: 4.63s gen, 0.024s retrieval
[vector_only] BQ043: 3.88s gen, 0.025s retrieval
[vector_only] BQ044: 7.20s gen, 0.030s retrieval
[vector_only] BQ045: 4.96s gen, 0.030s retrieval
[vector_only] BQ046: 13.99s gen, 0.025s retrieval
[vector_only] BQ047: 8.61s gen, 0.025s retrieval
[vector_only] BQ048: 5.58s gen, 0.027s retrieval
[vector_only] BQ049: 6.43s gen, 0.028s retrieval
[vector_only] BQ050: 4.53s gen, 0.019s retrieval
[vector_only] BQ051: 13.60s gen, 0.025s retrieval
[vector_only] BQ052: 5.30s gen, 0.025s retrieval
[vector_only] BQ053: 6.87s gen, 0.022s retrieval
[vector_only] BQ054: 11.75s gen, 0.027s retrieval
[vector_only] BQ055: 12.12s gen, 0.024s retrieval
[vector_only] BQ056: 6.04s gen, 0.030s retrieval
[vector_only] BQ057: 6.55s gen, 0.030s retrieval
[vector_only] BQ058: 4.07s gen, 0.028s retrieval
[vector_only] BQ059: 12.01s gen, 0.032s retrieval
[vector_only] BQ060: 14.76s gen, 0.025s retrieval
[vector_only] BQ061: 6.10s gen, 0.025s retrieval
[vector_only] BQ062: 6.98s gen, 0.026s retrieval
[vector_only] BQ063: 5.83s gen, 0.021s retrieval
[vector_only] BQ064: 5.78s gen, 0.023s retrieval
[vector_only] BQ065: 11.53s gen, 0.024s retrieval
[vector_only] BQ066: 9.98s gen, 0.030s retrieval
[vector_only] BQ067: 10.96s gen, 0.026s retrieval
[vector_only] BQ068: 5.07s gen, 0.024s retrieval
[vector_only] BQ069: 4.07s gen, 0.021s retrieval
[vector_only] BQ070: 17.59s gen, 0.026s retrieval
[vector_only] BQ071: 9.20s gen, 0.027s retrieval
[vector_only] BQ072: 7.15s gen, 0.021s retrieval
[vector_only] BQ073: 10.72s gen, 0.025s retrieval
[vector_only] BQ074: 6.58s gen, 0.023s retrieval
[vector_only] BQ075: 6.07s gen, 0.022s retrieval
[vector_only] BQ076: 7.55s gen, 0.023s retrieval
[vector_only] BQ077: 8.68s gen, 0.027s retrieval
[vector_only] BQ078: 6.36s gen, 0.028s retrieval
[vector_only] BQ079: 6.34s gen, 0.023s retrieval
[vector_only] BQ080: 7.86s gen, 0.026s retrieval
[vector_only] BQ081: 4.25s gen, 0.024s retrieval
[vector_only] BQ082: 8.70s gen, 0.028s retrieval
[vector_only] BQ083: 3.73s gen, 0.023s retrieval
[vector_only] BQ084: 6.37s gen, 0.021s retrieval
[vector_only] BQ085: 7.77s gen, 0.026s retrieval
[vector_only] BQ086: 4.28s gen, 0.025s retrieval
[vector_only] BQ087: 8.34s gen, 0.030s retrieval
[vector_only] BQ088: 15.14s gen, 0.023s retrieval
[vector_only] BQ089: 10.31s gen, 0.023s retrieval
[vector_only] BQ090: 9.12s gen, 0.027s retrieval
[vector_only] BQ091: 10.32s gen, 0.023s retrieval
[vector_only] BQ092: 6.14s gen, 0.024s retrieval
[vector_only] BQ093: 11.30s gen, 0.022s retrieval
[vector_only] BQ094: 5.10s gen, 0.025s retrieval
[vector_only] BQ095: 5.36s gen, 0.025s retrieval
[vector_only] BQ096: 6.85s gen, 0.024s retrieval
[vector_only] BQ097: 7.55s gen, 0.031s retrieval
[vector_only] BQ098: 5.55s gen, 0.031s retrieval
[vector_only] BQ099: 6.45s gen, 0.024s retrieval
[vector_only] BQ100: 6.81s gen, 0.031s retrieval
[no_retrieval] BQ001: 8.35s gen, 0.000s retrieval
[no_retrieval] BQ002: 5.72s gen, 0.000s retrieval
[no_retrieval] BQ003: 5.13s gen, 0.000s retrieval
[no_retrieval] BQ004: 9.12s gen, 0.000s retrieval
[no_retrieval] BQ005: 13.20s gen, 0.000s retrieval
[no_retrieval] BQ006: 8.87s gen, 0.000s retrieval
[no_retrieval] BQ007: 4.92s gen, 0.000s retrieval
[no_retrieval] BQ008: 8.26s gen, 0.000s retrieval
[no_retrieval] BQ009: 13.99s gen, 0.000s retrieval
[no_retrieval] BQ010: 11.90s gen, 0.000s retrieval
[no_retrieval] BQ011: 13.56s gen, 0.000s retrieval
[no_retrieval] BQ012: 14.57s gen, 0.000s retrieval
[no_retrieval] BQ013: 9.44s gen, 0.000s retrieval
[no_retrieval] BQ014: 16.06s gen, 0.000s retrieval
[no_retrieval] BQ015: 13.07s gen, 0.000s retrieval
[no_retrieval] BQ016: 9.97s gen, 0.000s retrieval
[no_retrieval] BQ017: 10.40s gen, 0.000s retrieval
[no_retrieval] BQ018: 4.21s gen, 0.000s retrieval
[no_retrieval] BQ019: 11.93s gen, 0.000s retrieval
[no_retrieval] BQ020: 19.14s gen, 0.000s retrieval
[no_retrieval] BQ021: 15.47s gen, 0.000s retrieval
[no_retrieval] BQ022: 8.60s gen, 0.000s retrieval
[no_retrieval] BQ023: 12.30s gen, 0.000s retrieval
[no_retrieval] BQ024: 7.52s gen, 0.000s retrieval
[no_retrieval] BQ025: 14.34s gen, 0.000s retrieval
[no_retrieval] BQ026: 14.26s gen, 0.000s retrieval
[no_retrieval] BQ027: 11.17s gen, 0.000s retrieval
[no_retrieval] BQ028: 10.03s gen, 0.000s retrieval
[no_retrieval] BQ029: 17.84s gen, 0.000s retrieval
[no_retrieval] BQ030: 13.96s gen, 0.000s retrieval
[no_retrieval] BQ031: 11.53s gen, 0.000s retrieval
[no_retrieval] BQ032: 9.29s gen, 0.000s retrieval
[no_retrieval] BQ033: 6.94s gen, 0.000s retrieval
[no_retrieval] BQ034: 8.79s gen, 0.000s retrieval
[no_retrieval] BQ035: 5.59s gen, 0.000s retrieval
[no_retrieval] BQ036: 6.82s gen, 0.000s retrieval
[no_retrieval] BQ037: 8.68s gen, 0.000s retrieval
[no_retrieval] BQ038: 9.57s gen, 0.000s retrieval
[no_retrieval] BQ039: 21.06s gen, 0.000s retrieval
[no_retrieval] BQ040: 8.99s gen, 0.000s retrieval
[no_retrieval] BQ041: 15.44s gen, 0.000s retrieval
[no_retrieval] BQ042: 14.22s gen, 0.000s retrieval
[no_retrieval] BQ043: 5.28s gen, 0.000s retrieval
[no_retrieval] BQ044: 9.36s gen, 0.000s retrieval
[no_retrieval] BQ045: 12.44s gen, 0.000s retrieval
[no_retrieval] BQ046: 12.21s gen, 0.000s retrieval
[no_retrieval] BQ047: 13.78s gen, 0.000s retrieval
[no_retrieval] BQ048: 7.12s gen, 0.000s retrieval
[no_retrieval] BQ049: 10.20s gen, 0.000s retrieval
[no_retrieval] BQ050: 8.04s gen, 0.000s retrieval
[no_retrieval] BQ051: 11.65s gen, 0.000s retrieval
[no_retrieval] BQ052: 13.92s gen, 0.000s retrieval
[no_retrieval] BQ053: 8.74s gen, 0.000s retrieval
[no_retrieval] BQ054: 10.52s gen, 0.000s retrieval
[no_retrieval] BQ055: 5.52s gen, 0.000s retrieval
[no_retrieval] BQ056: 10.70s gen, 0.000s retrieval
[no_retrieval] BQ057: 13.11s gen, 0.000s retrieval
[no_retrieval] BQ058: 10.00s gen, 0.000s retrieval
[no_retrieval] BQ059: 22.37s gen, 0.000s retrieval
[no_retrieval] BQ060: 5.38s gen, 0.000s retrieval
[no_retrieval] BQ061: 7.77s gen, 0.000s retrieval
[no_retrieval] BQ062: 11.30s gen, 0.000s retrieval
[no_retrieval] BQ063: 14.64s gen, 0.000s retrieval
[no_retrieval] BQ064: 18.06s gen, 0.000s retrieval
[no_retrieval] BQ065: 11.90s gen, 0.000s retrieval
[no_retrieval] BQ066: 19.41s gen, 0.000s retrieval
[no_retrieval] BQ067: 11.80s gen, 0.000s retrieval
[no_retrieval] BQ068: 9.36s gen, 0.000s retrieval
[no_retrieval] BQ069: 6.72s gen, 0.000s retrieval
[no_retrieval] BQ070: 15.43s gen, 0.000s retrieval
[no_retrieval] BQ071: 11.70s gen, 0.000s retrieval
[no_retrieval] BQ072: 7.74s gen, 0.000s retrieval
[no_retrieval] BQ073: 15.31s gen, 0.000s retrieval
[no_retrieval] BQ074: 9.22s gen, 0.000s retrieval
[no_retrieval] BQ075: 8.42s gen, 0.000s retrieval
[no_retrieval] BQ076: 8.68s gen, 0.000s retrieval
[no_retrieval] BQ077: 14.28s gen, 0.000s retrieval
[no_retrieval] BQ078: 11.25s gen, 0.000s retrieval
[no_retrieval] BQ079: 8.82s gen, 0.000s retrieval
[no_retrieval] BQ080: 15.46s gen, 0.000s retrieval
[no_retrieval] BQ081: 9.57s gen, 0.000s retrieval
[no_retrieval] BQ082: 23.62s gen, 0.000s retrieval
[no_retrieval] BQ083: 9.83s gen, 0.000s retrieval
[no_retrieval] BQ084: 10.43s gen, 0.000s retrieval
[no_retrieval] BQ085: 6.88s gen, 0.000s retrieval
[no_retrieval] BQ086: 12.93s gen, 0.000s retrieval
[no_retrieval] BQ087: 10.36s gen, 0.000s retrieval
[no_retrieval] BQ088: 12.56s gen, 0.000s retrieval
[no_retrieval] BQ089: 13.24s gen, 0.000s retrieval
[no_retrieval] BQ090: 16.87s gen, 0.000s retrieval
[no_retrieval] BQ091: 14.75s gen, 0.000s retrieval
[no_retrieval] BQ092: 7.41s gen, 0.000s retrieval
[no_retrieval] BQ093: 9.68s gen, 0.000s retrieval
[no_retrieval] BQ094: 11.94s gen, 0.000s retrieval
[no_retrieval] BQ095: 9.23s gen, 0.000s retrieval
[no_retrieval] BQ096: 8.78s gen, 0.000s retrieval
[no_retrieval] BQ097: 11.11s gen, 0.000s retrieval
[no_retrieval] BQ098: 25.28s gen, 0.000s retrieval
[no_retrieval] BQ099: 9.97s gen, 0.000s retrieval
[no_retrieval] BQ100: 10.01s gen, 0.000s retrieval
Wrote metadata to results\ablation_raw_outputs_banglish_metadata.json
Wrote 400 rows to results\ablation_raw_outputs_banglish.csv
